"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","25.09.2023",,,"Origin Time","0.186","s"
"Log Time","13:08:23",,,"Start Time","0.190","s"
"Sample Rate","200.000","Hz",,"End Time","136.535","s"
"Duration","136.345","s",,"Start Distance","9","m"
"Range","Lap 2",,,"End Distance","6949","m"
"Beacon Markers"," "


"Time","Distance","Corr Dist","Corr Dist (Unstretched)","Corr Speed","Damper Vel FL","Damper Vel FR","Damper Vel RL","Damper Vel RR","glat","glong","Oversteer","steered angle","is1st","is2nd","is3rd","is4th","is5th","is6th","is2ndWOT","is3rdWOT","isWOT","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","m","m","m/s","m/s","m/s","m/s","m/s","G","G","rad","deg","","","","","","","","","","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","34348","34361","46.6","0.0","0.0","0.0","0.0","-0.07","0.40","-0.00","-0.13","0","0","1","0","0","0","0","1","1.00","0","-0.08","-0.87","-1.44","167.6","100","0","3","0","0","6632","0","0","15.38","13.78","30.59","30.26","574.03","567.85","648.46","645.49","26.79","26.88","26.77","26.86","84.47","85.44","95.75","95.60","46.57","46.51","47.86","47.84","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.005","0","34348","34361","46.6","-0.0","-0.0","0.0","0.0","-0.07","0.40","-0.00","-0.13","0","0","1","0","0","0","0","1","1.00","0","-0.08","-0.87","-1.40","167.8","100","0","3","0","0","6647","0","0","15.36","13.64","30.56","30.44","574.03","567.85","648.46","645.49","26.79","26.88","26.77","26.86","84.47","85.44","95.75","95.60","46.59","46.53","47.88","47.86","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.010","0","34348","34361","46.6","-0.0","-0.0","0.0","0.0","-0.08","0.40","-0.00","-0.13","0","0","1","0","0","0","0","1","1.00","0","-0.08","-0.87","-1.40","167.8","100","0","3","0","0","6647","0","0","15.10","13.49","30.54","30.57","574.03","567.85","648.46","645.49","26.79","26.88","26.77","26.86","84.47","85.44","95.75","95.60","46.58","46.52","47.90","47.92","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.015","1","34349","34361","46.6","-0.0","-0.0","0.0","0.0","-0.07","0.40","-0.00","-0.13","0","0","1","0","0","0","0","1","1.00","0","-0.08","-0.87","-1.40","167.8","100","0","3","0","0","6647","0","0","15.02","13.43","30.55","30.56","574.03","567.85","648.46","645.49","26.79","26.88","26.77","26.86","84.47","85.44","95.75","95.60","46.59","46.54","47.94","47.97","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.020","1","34349","34362","46.7","-0.0","-0.0","0.0","0.0","-0.07","0.40","-0.00","-0.13","0","0","1","0","0","0","0","1","1.00","0","-0.08","-0.87","-1.36","168.1","100","0","3","0","0","6670","0","0","14.76","13.46","30.57","30.47","574.03","567.85","648.46","645.49","26.79","26.88","26.77","26.86","84.47","85.44","95.75","95.60","46.59","46.56","47.95","47.98","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.025","1","34349","34362","46.7","-0.0","-0.0","0.0","0.0","-0.07","0.39","-0.00","-0.12","0","0","1","0","0","0","0","1","1.00","0","-0.08","-0.87","-1.36","168.1","100","0","3","0","0","6670","0","0","14.69","13.53","30.61","30.36","574.03","567.85","648.46","645.49","26.79","26.88","26.77","26.86","84.47","85.44","95.75","95.60","46.61","46.59","47.95","47.98","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.030","1","34349","34362","46.7","-0.0","-0.0","0.0","0.0","-0.07","0.39","-0.00","-0.12","0","0","1","0","0","0","0","1","1.00","0","-0.08","-0.87","-1.36","168.1","100","0","3","0","0","6670","0","0","14.46","13.58","30.66","30.33","574.03","567.85","648.46","645.49","26.79","26.88","26.77","26.86","84.47","85.44","95.75","95.60","46.62","46.62","47.95","47.98","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.035","2","34349","34362","46.7","-0.0","-0.0","0.0","0.0","-0.07","0.39","-0.00","-0.12","0","0","1","0","0","0","0","1","1.00","0","-0.08","-0.87","-1.28","168.3","100","0","3","0","0","6675","0","0","14.42","13.55","30.76","30.36","574.03","567.85","648.46","645.49","26.79","26.88","26.77","26.86","84.47","85.44","95.75","95.60","46.65","46.64","47.94","47.97","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.040","2","34350","34362","46.7","-0.0","-0.0","0.0","0.0","-0.07","0.39","-0.00","-0.12","0","0","1","0","0","0","0","1","1.00","0","-0.06","-0.83","-1.28","168.3","100","0","3","0","0","6675","0","0","14.24","13.45","30.90","30.48","573.42","567.25","647.89","644.92","26.79","26.88","26.77","26.86","84.46","85.44","95.75","95.60","46.66","46.65","47.92","47.94","0","0","1","1","0","0","0","0","0","0","0","-0","-0","2","2","-1","2","1188","0","2","7","7"
"0.045","2","34350","34363","46.8","-0.0","-0.0","0.0","0.0","-0.07","0.39","-0.00","-0.12","0","0","1","0","0","0","0","1","1.00","0","-0.06","-0.83","-1.28","168.3","100","0","3","0","0","6675","0","0","14.12","13.30","31.12","30.65","573.42","567.25","647.89","644.92","26.79","26.88","26.77","26.86","84.46","85.44","95.75","95.60","46.68","46.66","47.93","47.98","0","0","1","1","0","0","0","0","0","0","-2","-1","-0","2","2","-1","2","1188","0","2","7","7"
"0.050","2","34350","34363","46.8","-0.0","-0.0","0.0","-0.0","-0.07","0.39","-0.00","-0.12","0","0","1","0","0","0","0","1","1.00","0","-0.06","-0.83","-1.28","168.3","100","0","3","0","0","6675","0","0","14.05","13.13","31.31","30.75","573.42","567.25","647.89","644.92","26.79","26.88","26.77","26.86","84.46","85.44","95.75","95.60","46.70","46.67","47.99","48.07","0","0","1","1","0","0","0","0","0","0","0","-1","-0","2","2","-1","2","1188","0","2","7","7"
