Distance,Time,Corr Dist,Corr Dist (Unstretched),Corr Speed,Damper Vel FL,Damper Vel FR,Damper Vel RL,Damper Vel RR,glat,glong,Oversteer,steered angle,is1st,is2nd,is3rd,is4th,is5th,is6th,is2ndWOT,is3rdWOT,isWOT,LAP_BEACON,G_LAT,ROTY,STEERANGLE,SPEED,THROTTLE,BRAKE,GEAR,G_LON,CLUTCH,RPMS,TC,ABS,SUS_TRAVEL_LF,SUS_TRAVEL_RF,SUS_TRAVEL_LR,SUS_TRAVEL_RR,BRAKE_TEMP_LF,BRAKE_TEMP_RF,BRAKE_TEMP_LR,BRAKE_TEMP_RR,TYRE_PRESS_LF,TYRE_PRESS_RF,TYRE_PRESS_LR,TYRE_PRESS_RR,TYRE_TAIR_LF,TYRE_TAIR_RF,TYRE_TAIR_LR,TYRE_TAIR_RR,WHEEL_SPEED_LF,WHEEL_SPEED_RF,WHEEL_SPEED_LR,WHEEL_SPEED_RR,BUMPSTOPUP_RIDE_LF,BUMPSTOPUP_RIDE_RF,BUMPSTOPUP_RIDE_LR,BUMPSTOPUP_RIDE_RR,BUMPSTOPDN_RIDE_LF,BUMPSTOPDN_RIDE_RF,BUMPSTOPDN_RIDE_LR,BUMPSTOPDN_RIDE_RR,BUMPSTOP_FORCE_LF,BUMPSTOP_FORCE_RF,BUMPSTOP_FORCE_LR,BUMPSTOP_FORCE_RR,EN_ET,EN_TL,EN_TD,EN_TB,EN_TW,EN_W,EN_Dy,EN_AP,EN_GR,TIME,segment_id_x,segmentDescription,segmentStart_m,segmentEnd_m,corner_ids,corner_id,segment_id_y,cornerName,cornerDescription,cornerStart_m,cornerApex_m,cornerEnd_m
0,0.01,34348.0,34361.0,46.6,-0.0,-0.0,0.0,0.0,-0.08,0.4,-0.0,-0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.08,-0.87,-1.4,167.8,100.0,0.0,3.0,0.0,0.0,6647.0,0.0,0.0,15.1,13.49,30.54,30.57,574.03,567.85,648.46,645.49,26.79,26.88,26.77,26.86,84.47,85.44,95.75,95.6,46.58,46.52,47.9,47.92,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0,2.0,1188.0,0.0,2.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
1,0.03,34349.0,34362.0,46.7,-0.0,-0.0,0.0,0.0,-0.07,0.39,-0.0,-0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.08,-0.87,-1.36,168.1,100.0,0.0,3.0,0.0,0.0,6670.0,0.0,0.0,14.46,13.58,30.66,30.33,574.03,567.85,648.46,645.49,26.79,26.88,26.77,26.86,84.47,85.44,95.75,95.6,46.62,46.62,47.95,47.98,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0,2.0,1188.0,0.0,2.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
2,0.05,34350.0,34363.0,46.8,-0.0,-0.0,0.0,-0.0,-0.07,0.39,-0.0,-0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.06,-0.83,-1.28,168.3,100.0,0.0,3.0,0.0,0.0,6675.0,0.0,0.0,14.05,13.13,31.31,30.75,573.42,567.25,647.89,644.92,26.79,26.88,26.77,26.86,84.46,85.44,95.75,95.6,46.7,46.67,47.99,48.07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,2.0,-1.0,2.0,1188.0,0.0,2.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
3,0.07,34351.0,34364.0,46.9,0.0,-0.0,-0.0,-0.0,-0.06,0.39,-0.0,-0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.06,-0.83,-1.28,168.8,100.0,0.0,3.0,0.0,0.0,6693.0,0.0,0.0,13.95,12.77,31.16,30.28,573.42,567.25,647.89,644.92,26.79,26.88,26.77,26.86,84.46,85.44,95.75,95.6,46.78,46.74,48.26,48.26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,-1.0,2.0,1188.0,0.0,2.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
4,0.095,34352.0,34365.0,47.0,0.0,-0.0,-0.0,-0.0,-0.06,0.4,-0.0,-0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.06,-0.68,-1.28,169.0,100.0,0.0,3.0,0.0,0.0,6716.0,0.0,0.0,14.39,12.61,30.34,29.89,572.81,566.65,647.31,644.35,26.79,26.88,26.77,26.86,84.46,85.44,95.75,95.6,46.89,46.85,48.4,48.37,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,-1.0,2.0,1188.0,0.0,2.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
5,0.115,34353.0,34366.0,47.0,-0.0,-0.0,-0.0,-0.0,-0.07,0.41,-0.0,-0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.06,-0.68,-1.28,169.2,100.0,0.0,3.0,0.0,0.0,6728.0,0.0,0.0,14.81,12.75,29.77,29.43,572.81,566.65,647.31,644.35,26.79,26.88,26.77,26.86,84.46,85.44,95.75,95.6,46.99,46.97,48.45,48.45,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,-1.0,2.0,1188.0,0.0,2.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
6,0.135,34354.0,34367.0,47.1,-0.0,-0.0,0.0,0.0,-0.07,0.4,-0.0,-0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.06,-0.68,-1.4,169.7,100.0,0.0,3.0,0.0,0.0,6723.0,0.0,0.0,14.2,12.19,29.42,29.39,572.81,566.65,647.31,644.35,26.79,26.88,26.77,26.86,84.46,85.44,95.75,95.6,47.05,47.03,48.45,48.47,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,1188.0,1.0,2.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
7,0.155,34355.0,34368.0,47.2,-0.0,-0.0,0.0,0.0,-0.08,0.4,-0.0,-0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.08,-0.49,-1.44,170.0,100.0,0.0,3.0,0.0,0.0,6723.0,0.0,0.0,13.65,11.6,29.82,29.57,572.2,566.05,646.73,643.77,26.79,26.88,26.77,26.86,84.46,85.44,95.75,95.6,47.11,47.09,48.43,48.46,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,1.0,1188.0,1.0,3.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
8,0.18,34356.0,34369.0,47.3,-0.0,0.0,-0.0,0.0,-0.07,0.4,-0.0,-0.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.08,-0.49,-1.52,170.2,100.0,0.0,3.0,0.0,0.0,6735.0,0.0,0.0,13.31,11.4,29.84,30.15,572.2,566.05,646.73,643.77,26.79,26.88,26.77,26.86,84.46,85.44,95.75,95.6,47.21,47.16,48.65,48.62,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,1.0,1188.0,1.0,3.0,7.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
9,0.2,34357.0,34370.0,47.4,-0.0,0.0,-0.0,-0.0,-0.05,0.39,-0.0,-0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.04,-0.65,-1.44,170.4,100.0,0.0,3.0,0.0,0.0,6762.0,0.0,0.0,13.1,12.16,29.32,29.76,571.59,565.44,646.15,643.2,26.79,26.88,26.77,26.86,84.45,85.44,95.74,95.6,47.28,47.27,48.81,48.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,-2.0,1.0,1187.0,1.0,3.0,8.0,7.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
