"Format","MoTeC CSV File",,,"Workbook",""
"Venue","brands_hatch",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","05.11.2025",,,"Origin Time","141.579","s"
"Log Time","18:43:38",,,"Start Time","141.580","s"
"Sample Rate","200.000","Hz",,"End Time","225.385","s"
"Duration","83.805","s",,"Start Distance","4776","m"
"Range","Lap 3",,,"End Distance","8664","m"
"Beacon Markers","  "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.01","-1.12","-3.78","223.2","100","0","4","0.18","0","7360","0","0","22.42","23.00","46.20","52.92","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","62.03","61.90","63.05","63.04","0","0","0","0","0","0","0","0","0","0","0","0","3","6","4","2","4","1171","-0","3","3","85"
"0.005","0","0","-0.01","-1.12","-3.78","223.2","100","0","4","0.18","0","7360","0","0","20.27","22.63","46.26","52.47","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","62.07","61.90","63.12","63.10","0","0","0","0","0","0","0","0","0","0","0","0","3","6","4","2","4","1171","-0","3","3","85"
"0.010","1","0","-0.01","-1.12","-3.78","223.2","100","0","4","0.18","0","7360","0","0","17.50","22.15","46.18","51.84","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","61.93","61.90","62.93","62.92","0","0","0","0","0","0","0","0","0","0","0","0","5","9","4","2","4","1174","3","3","6","0"
"0.015","1","0","-0.01","-1.12","-3.55","223.4","100","0","4","0.18","0","7353","0","0","15.06","21.61","45.99","51.06","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","61.74","61.85","63.38","63.27","0","0","0","0","0","0","0","0","0","0","0","0","5","9","4","2","4","1174","3","3","6","0"
"0.020","1","0","-0.01","-1.12","-3.55","223.4","100","0","4","0.18","0","7353","0","0","14.40","21.19","45.65","50.18","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","61.80","61.83","63.34","63.19","0","0","0","0","0","0","0","0","0","0","0","0","5","9","4","2","4","1174","3","3","6","0"
"0.025","2","0","-0.01","-1.12","-3.55","223.4","100","0","4","0.18","0","7353","0","0","14.44","21.02","45.13","49.26","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","61.86","61.84","63.31","63.19","0","0","0","0","0","0","0","0","0","0","0","0","5","9","4","2","4","1174","3","3","6","0"
"0.030","2","0","-0.01","-1.12","-3.11","223.5","100","0","4","0.18","0","7359","0","0","14.57","20.90","44.52","48.36","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","61.85","61.86","63.42","63.34","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","5","1174","3","3","6","0"
"0.035","2","0","-0.01","-1.12","-3.11","223.5","100","0","4","0.18","0","7359","0","0","15.00","20.85","43.88","47.40","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","61.91","61.87","63.46","63.35","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","5","1174","3","3","6","0"
"0.040","2","0","-0.01","-1.12","-3.11","223.5","100","0","4","0.18","0","7359","0","0","15.63","20.82","42.99","46.40","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","61.95","61.91","63.62","63.44","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","5","1174","3","3","6","0"
"0.045","3","0","-0.01","-1.12","-2.43","223.5","100","0","4","0.18","0","7393","0","0","16.45","20.78","41.75","45.35","446.85","446.85","397.08","397.08","26.96","26.96","26.76","26.96","80.00","80.00","80.00","80.00","62.01","61.92","63.81","63.57","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","5","1174","3","3","6","0"
"0.050","3","0","-0.05","-2.17","-2.43","223.5","100","0","4","0.19","0","7393","0","0","17.44","20.74","40.14","44.26","445.91","445.91","396.21","396.21","26.96","26.96","26.76","26.96","80.01","80.01","80.00","80.01","62.06","61.97","63.89","63.71","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","5","1174","3","3","6","0"
