"Format","MoTeC CSV File",,,"Workbook",""
"Venue","brands_hatch",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","05.11.2025",,,"Origin Time","205.508","s"
"Log Time","20:53:40",,,"Start Time","205.510","s"
"Sample Rate","200.000","Hz",,"End Time","289.560","s"
"Duration","84.050","s",,"Start Distance","7841","m"
"Range","Lap 4",,,"End Distance","11728","m"
"Beacon Markers","   "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.02","0.13","0.54","226.1","100","0","5","0.15","0","6512","0","0","23.37","23.09","48.88","53.34","342.13","337.87","254.61","252.49","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.76","62.65","63.86","63.81","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","4","1171","3","3","5","0"
"0.005","0","0","-0.02","0.13","0.54","226.1","100","0","5","0.15","0","6512","0","0","22.21","23.01","48.65","52.73","342.13","337.87","254.61","252.49","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.68","62.68","63.91","63.87","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","4","1171","3","3","5","0"
"0.010","1","0","-0.02","0.13","0.54","226.1","100","0","5","0.15","0","6512","0","0","21.21","22.85","48.38","51.95","342.13","337.87","254.61","252.49","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.61","62.69","64.02","63.94","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","4","1171","3","3","5","0"
"0.015","1","0","-0.02","0.13","0.99","226.2","100","0","5","0.15","0","6471","0","0","20.70","22.72","47.86","51.01","342.13","337.87","254.61","252.49","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.58","62.67","64.12","64.01","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","4","1171","3","3","5","0"
"0.020","1","0","0.02","0.39","0.99","226.2","100","0","5","0.12","0","6471","0","0","20.60","22.69","47.10","50.02","341.44","337.19","254.09","251.97","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.61","62.68","64.17","64.05","0","0","0","0","0","0","0","0","0","0","0","0","6","9","4","2","4","1171","3","3","5","0"
"0.025","2","0","0.02","0.39","0.99","226.2","100","0","5","0.12","0","6471","0","0","20.84","22.69","46.15","49.09","341.44","337.19","254.09","251.97","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.68","62.69","64.18","64.06","0","0","0","0","0","0","0","0","0","0","0","0","7","9","4","2","5","1171","3","3","5","0"
"0.030","2","0","0.02","0.39","0.99","226.2","100","0","5","0.12","0","6471","0","0","21.07","22.70","45.21","48.28","341.44","337.19","254.09","251.97","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.73","62.72","64.11","64.05","0","0","0","0","0","0","0","0","0","0","0","0","7","9","4","2","5","1171","3","3","5","0"
"0.035","2","0","0.02","0.39","1.21","226.2","100","0","5","0.12","0","6483","0","0","21.29","22.76","44.57","47.55","341.44","337.19","254.09","251.97","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.74","62.74","64.07","64.03","0","0","0","0","0","0","0","0","0","0","0","0","7","9","4","2","5","1171","3","3","5","0"
"0.040","3","0","0.02","0.39","1.21","226.2","100","0","5","0.12","0","6483","0","0","21.62","22.96","44.09","46.92","341.44","337.19","254.09","251.97","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.76","62.76","64.23","64.06","0","0","0","0","0","0","0","0","0","0","0","0","7","9","4","2","5","1172","3","3","5","0"
"0.045","3","0","0.02","0.39","1.21","226.2","100","0","5","0.12","0","6483","0","0","22.09","23.29","43.30","46.43","341.44","337.19","254.09","251.97","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.79","62.83","64.32","64.10","0","0","0","0","0","0","0","0","0","0","0","0","7","9","4","2","5","1172","3","3","5","0"
"0.050","3","0","0.02","0.39","1.44","226.3","100","0","5","0.12","0","6520","0","0","22.69","23.48","42.36","45.97","341.44","337.19","254.09","251.97","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.86","62.86","64.24","64.15","0","0","0","0","0","0","0","0","0","0","0","0","7","9","4","2","5","1172","3","3","5","0"
"0.055","3","0","0.02","0.39","1.44","226.3","100","0","5","0.12","0","6520","0","0","23.18","23.33","41.68","45.43","341.44","337.19","254.09","251.97","26.77","26.63","26.40","26.53","88.07","73.41","90.01","79.68","62.89","62.88","64.13","64.12","0","0","0","0","0","0","0","0","0","0","0","0","7","9","4","2","5","1172","3","3","5","0"
