"Format","MoTeC CSV File",,,"Workbook",""
"Venue","brands_hatch",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","04.11.2025",,,"Origin Time","349.095","s"
"Log Time","09:10:42",,,"Start Time","349.095","s"
"Sample Rate","200.000","Hz",,"End Time","433.210","s"
"Duration","84.115","s",,"Start Distance","15573","m"
"Range","Lap 5",,,"End Distance","19458","m"
"Beacon Markers","   00.000 "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","0.35","-3.15","-2.03","227.1","100","0","4","0.15","0","7489","0","0","20.13","27.87","40.44","47.17","361.80","358.29","271.29","269.56","26.92","26.95","26.93","26.99","89.71","77.13","93.58","83.78","63.03","63.02","64.36","64.15","0","1","0","0","0","0","0","0","0","-7","0","0","4","5","0","-0","4","1169","1","1","8","23"
"0.005","0","0","0.35","-3.15","-2.03","227.1","100","0","4","0.15","0","7489","0","0","20.34","27.82","40.32","46.94","361.80","358.29","271.29","269.56","26.92","26.95","26.93","26.99","89.71","77.13","93.58","83.78","63.05","63.03","64.33","64.15","0","1","0","0","0","0","0","0","0","-7","0","0","4","5","0","-0","4","1169","1","1","8","23"
"0.010","1","0","0.35","-3.15","-2.03","227.1","100","0","4","0.15","0","7489","0","0","20.72","27.77","40.35","46.73","361.80","358.29","271.29","269.56","26.92","26.95","26.93","26.99","89.71","77.13","93.58","83.78","63.10","63.05","64.18","64.14","0","1","0","0","0","0","0","0","0","-7","0","0","4","5","0","-0","4","1169","1","1","8","23"
"0.015","1","0","0.35","-3.15","-2.43","227.2","100","0","4","0.15","0","7486","0","0","21.06","27.72","40.73","46.56","361.80","358.29","271.29","269.56","26.92","26.95","26.93","26.99","89.71","77.13","93.58","83.78","63.12","63.07","64.12","64.14","0","1","0","0","0","0","0","0","0","-6","0","0","4","5","0","-0","4","1169","1","1","8","23"
"0.020","1","0","0.35","-3.15","-2.43","227.2","100","0","4","0.15","0","7486","0","0","21.34","27.64","41.24","46.40","361.80","358.29","271.29","269.56","26.92","26.95","26.93","26.99","89.71","77.13","93.58","83.78","63.12","63.07","64.20","64.14","0","1","0","0","0","0","0","0","0","-6","0","0","4","5","0","-0","4","1169","1","1","8","23"
"0.025","2","0","0.35","-3.15","-2.43","227.2","100","0","4","0.15","0","7486","0","0","21.65","27.52","41.55","46.30","361.80","358.29","271.29","269.56","26.92","26.95","26.93","26.99","89.71","77.13","93.58","83.78","63.13","63.07","64.25","64.12","0","1","0","0","0","0","0","0","0","-5","0","0","4","5","0","-0","4","1169","1","1","8","23"
"0.030","2","0","0.35","-3.15","-3.02","227.3","100","0","4","0.15","0","7488","0","0","22.02","27.40","41.63","46.32","361.80","358.29","271.29","269.56","26.92","26.95","26.93","26.99","89.71","77.13","93.58","83.78","63.16","63.06","64.27","64.10","0","1","0","0","0","0","0","0","0","-4","0","0","4","5","0","-0","4","1169","1","1","8","23"
"0.035","2","0","0.12","-4.93","-3.02","227.3","100","0","4","0.18","0","7488","0","0","22.41","27.31","41.61","46.33","361.07","357.57","270.73","269.01","26.92","26.95","26.93","26.99","89.71","77.12","93.58","83.78","63.17","63.07","64.26","64.09","0","1","0","0","0","0","0","0","0","-4","0","0","4","5","0","-0","4","1169","1","1","8","23"
"0.040","3","0","0.12","-4.93","-3.02","227.3","100","0","4","0.18","0","7488","0","0","22.83","27.27","41.63","46.40","361.07","357.57","270.73","269.01","26.92","26.95","26.93","26.99","89.71","77.12","93.58","83.78","63.18","63.07","64.22","64.07","0","1","0","0","0","0","0","0","0","-4","0","0","4","5","-0","-0","4","1168","1","1","8","23"
"0.045","3","0","0.12","-4.93","-3.02","227.3","100","0","4","0.18","0","7488","0","0","23.28","27.27","41.80","46.55","361.07","357.57","270.73","269.01","26.92","26.95","26.93","26.99","89.71","77.12","93.58","83.78","63.19","63.08","64.20","64.07","0","1","0","0","0","0","0","0","0","-4","0","0","4","5","-0","-0","4","1168","1","1","8","23"
"0.050","3","0","0.12","-4.93","-3.69","227.4","100","0","4","0.18","0","7493","0","0","23.75","27.31","42.15","46.76","361.07","357.57","270.73","269.01","26.92","26.95","26.93","26.99","89.71","77.12","93.58","83.78","63.21","63.09","64.21","64.08","0","1","0","0","0","0","0","0","0","-4","0","0","4","5","-0","-0","4","1168","1","1","8","23"
