"Format","MoTeC CSV File",,,"Workbook",""
"Venue","brands_hatch",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","03.11.2025",,,"Origin Time","218.358","s"
"Log Time","20:38:08",,,"Start Time","218.360","s"
"Sample Rate","200.000","Hz",,"End Time","302.830","s"
"Duration","84.470","s",,"Start Distance","9517","m"
"Range","Lap 4",,,"End Distance","13404","m"
"Beacon Markers","    "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.00","1.92","-0.27","225.6","100","0","4","0.20","0","7424","0","0","21.15","22.65","44.99","51.05","450.00","450.00","400.00","400.00","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.61","62.53","63.96","63.91","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","1","0","5","77"
"0.005","0","0","-0.00","1.92","-0.27","225.6","100","0","4","0.20","0","7424","0","0","19.24","22.39","44.88","50.41","450.00","450.00","400.00","400.00","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.58","62.58","63.58","63.57","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","1","0","5","77"
"0.010","1","0","-0.00","1.92","-0.27","225.6","100","0","4","0.20","0","7424","0","0","17.26","22.02","44.73","49.61","450.00","450.00","400.00","400.00","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.46","62.55","63.86","63.77","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","1","0","5","77"
"0.015","1","0","0.07","1.53","-0.27","225.6","100","0","4","0.13","0","7424","0","0","16.10","21.68","44.37","48.72","446.25","446.25","396.52","396.52","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.38","62.52","64.14","63.96","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","0","0","5","77"
"0.020","1","0","0.07","1.53","0.22","225.7","100","0","4","0.13","0","7436","0","0","15.85","21.46","43.71","47.80","446.25","446.25","396.52","396.52","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.42","62.51","64.04","63.86","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","0","0","5","77"
"0.025","2","0","0.07","1.53","0.22","225.7","100","0","4","0.13","0","7436","0","0","15.79","21.30","42.89","46.91","446.25","446.25","396.52","396.52","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.42","62.51","64.06","63.95","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","0","0","5","77"
"0.030","2","0","0.07","1.53","0.22","225.7","100","0","4","0.13","0","7436","0","0","15.89","21.18","42.21","46.04","446.25","446.25","396.52","396.52","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.43","62.54","64.04","63.99","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","0","0","5","77"
"0.035","2","0","0.07","1.53","0.13","225.7","100","0","4","0.13","0","7460","0","0","16.34","21.21","41.67","45.16","446.25","446.25","396.52","396.52","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.50","62.57","64.11","64.01","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","0","0","5","77"
"0.040","3","0","0.07","1.53","0.13","225.7","100","0","4","0.13","0","7460","0","0","17.05","21.17","40.93","44.28","446.25","446.25","396.52","396.52","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.55","62.58","64.29","64.11","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","0","0","5","77"
"0.045","3","0","0.07","1.53","0.13","225.7","100","0","4","0.13","0","7460","0","0","17.98","21.19","39.83","43.45","446.25","446.25","396.52","396.52","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.61","62.61","64.41","64.21","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","0","0","5","77"
"0.050","3","0","0.07","1.53","-0.18","225.8","100","0","4","0.13","0","7480","0","0","19.03","21.19","38.51","42.59","446.25","446.25","396.52","396.52","26.56","26.86","26.46","26.96","80.00","80.00","80.00","80.00","62.67","62.67","64.40","64.28","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","1","4","1173","0","0","5","77"
