"Format","MoTeC CSV File",,,"Workbook",""
"Venue","brands_hatch",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","04.11.2025",,,"Origin Time","252.610","s"
"Log Time","09:30:26",,,"Start Time","252.610","s"
"Sample Rate","200.000","Hz",,"End Time","338.340","s"
"Duration","85.730","s",,"Start Distance","11662","m"
"Range","Lap 4",,,"End Distance","15555","m"
"Beacon Markers","  00.000  "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.01","0.95","0.36","225.6","100","0","5","0.14","0","6447","0","0","22.98","22.47","47.91","52.38","358.88","354.04","268.63","266.14","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.61","62.51","63.76","63.72","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1169","1","-0","6","1"
"0.005","0","0","-0.01","0.95","0.36","225.6","100","0","5","0.14","0","6447","0","0","21.84","22.33","47.70","51.79","358.88","354.04","268.63","266.14","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.58","62.54","63.78","63.77","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1169","1","-0","6","1"
"0.010","1","0","-0.01","0.95","0.36","225.6","100","0","5","0.14","0","6447","0","0","20.64","22.17","47.47","51.01","358.88","354.04","268.63","266.14","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.49","62.57","63.86","63.81","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1169","1","-0","6","1"
"0.015","1","0","-0.01","0.95","0.85","225.7","100","0","5","0.14","0","6483","0","0","19.85","22.00","47.04","50.04","358.88","354.04","268.63","266.14","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.41","62.53","63.97","63.87","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1169","1","-0","6","1"
"0.020","1","0","0.01","0.89","0.85","225.7","100","0","5","0.20","0","6483","0","0","19.76","21.89","46.32","49.03","358.16","353.34","268.08","265.60","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.45","62.54","64.02","63.89","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1168","1","-0","6","1"
"0.025","2","0","0.01","0.89","0.85","225.7","100","0","5","0.20","0","6483","0","0","19.80","21.92","45.35","48.06","358.16","353.34","268.08","265.60","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.49","62.54","64.02","63.90","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1168","1","-0","6","1"
"0.030","2","0","0.01","0.89","0.85","225.7","100","0","5","0.20","0","6483","0","0","19.96","21.96","44.36","47.19","358.16","353.34","268.08","265.60","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.54","62.57","63.96","63.90","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1168","1","-0","6","1"
"0.035","2","0","0.01","0.89","1.39","225.8","100","0","5","0.20","0","6502","0","0","20.18","21.99","43.68","46.39","358.16","353.34","268.08","265.60","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.56","62.60","63.88","63.89","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1168","1","-0","6","1"
"0.040","3","0","0.01","0.89","1.39","225.8","100","0","5","0.20","0","6502","0","0","20.57","22.12","43.24","45.68","358.16","353.34","268.08","265.60","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.59","62.61","64.04","63.93","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1168","1","-0","6","1"
"0.045","3","0","0.01","0.89","1.39","225.8","100","0","5","0.20","0","6502","0","0","21.13","22.43","42.53","45.07","358.16","353.34","268.08","265.60","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.63","62.67","64.21","64.00","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1168","1","-1","6","1"
"0.050","3","0","0.01","0.89","1.89","225.9","100","0","5","0.20","0","6506","0","0","21.85","22.66","41.49","44.55","358.16","353.34","268.08","265.60","27.05","27.05","26.95","26.69","93.01","78.19","95.76","85.10","62.69","62.70","64.19","64.07","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","2","2","1168","1","-1","6","1"
