"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","17.08.2025",,,"Origin Time","1870.910","s"
"Log Time","23:53:04",,,"Start Time","1870.910","s"
"Sample Rate","200.000","Hz",,"End Time","2008.770","s"
"Duration","137.860","s",,"Start Distance","71914","m"
"Range","Lap 17",,,"End Distance","78853","m"
"Beacon Markers","               00.000  "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.30","-1.70","-2.12","166.2","100","0","3","0.38","0","6576","0","0","17.55","14.56","33.03","30.29","157.32","154.99","112.58","111.31","25.09","25.27","24.90","25.17","69.85","69.74","71.01","70.71","46.12","46.06","47.39","47.44","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1","3","1186","2","2","5","93"
"0.005","0","0","-0.30","-1.70","-2.12","166.2","100","0","3","0.38","0","6576","0","0","17.74","15.30","32.97","30.31","157.32","154.99","112.58","111.31","25.09","25.27","24.90","25.17","69.85","69.74","71.01","70.71","46.15","46.15","47.44","47.49","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1","3","1186","2","2","5","93"
"0.010","0","0","-0.30","-1.70","-2.12","166.2","100","0","3","0.38","0","6576","0","0","17.95","15.92","32.90","30.27","157.32","154.99","112.58","111.31","25.09","25.27","24.90","25.17","69.85","69.74","71.01","70.71","46.18","46.18","47.49","47.55","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1","3","1186","2","2","5","93"
"0.015","1","0","-0.30","-1.70","-1.80","166.4","100","0","3","0.38","0","6612","0","0","18.15","16.15","32.81","30.17","157.32","154.99","112.58","111.31","25.09","25.27","24.90","25.17","69.85","69.74","71.01","70.71","46.21","46.20","47.54","47.62","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1","3","1186","2","2","5","93"
"0.020","1","0","-0.24","-1.68","-1.80","166.4","100","0","3","0.46","0","6612","0","0","18.31","16.09","32.70","30.02","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.24","46.19","47.65","47.76","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1","3","1186","2","2","5","93"
"0.025","1","0","-0.24","-1.68","-1.80","166.4","100","0","3","0.46","0","6612","0","0","18.42","15.94","32.58","29.83","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.28","46.20","47.37","47.51","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.24","-1.68","-1.80","166.4","100","0","3","0.46","0","6612","0","0","18.44","15.77","32.52","29.68","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.28","46.20","47.66","47.78","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.24","-1.68","-1.58","166.7","100","0","3","0.46","0","6628","0","0","18.41","15.60","32.53","29.63","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.30","46.21","47.55","47.65","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.040","2","0","-0.24","-1.68","-1.58","166.7","100","0","3","0.46","0","6628","0","0","18.34","15.44","32.55","29.61","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.30","46.22","47.51","47.60","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.24","-1.68","-1.58","166.7","100","0","3","0.46","0","6628","0","0","18.28","15.34","32.59","29.67","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.33","46.24","47.60","47.66","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.24","-1.68","-1.44","166.9","100","0","3","0.46","0","6621","0","0","18.19","15.28","32.67","29.84","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.35","46.26","47.53","47.54","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
