"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","20.10.2025",,,"Origin Time","683.493","s"
"Log Time","11:52:41",,,"Start Time","683.495","s"
"Sample Rate","200.000","Hz",,"End Time","820.725","s"
"Duration","137.230","s",,"Start Distance","30814","m"
"Range","Lap 7",,,"End Distance","37750","m"
"Beacon Markers","        "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.13","-1.46","-1.84","169.1","100","0","3","0.39","0","6693","0","0","17.80","16.84","33.99","33.02","164.14","163.52","118.51","118.29","25.76","25.95","25.48","25.56","69.55","69.50","70.88","70.63","46.94","46.95","48.27","48.30","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","3","1187","1","2","5","0"
"0.005","0","0","-0.13","-1.46","-1.84","169.1","100","0","3","0.39","0","6693","0","0","18.02","17.29","33.94","32.91","164.14","163.52","118.51","118.29","25.76","25.95","25.48","25.56","69.55","69.50","70.88","70.63","46.98","46.98","48.33","48.38","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","3","1187","1","2","5","0"
"0.010","0","0","-0.13","-1.46","-1.84","169.1","100","0","3","0.39","0","6693","0","0","18.17","17.36","33.88","32.74","164.14","163.52","118.51","118.29","25.76","25.95","25.48","25.56","69.55","69.50","70.88","70.63","47.00","47.00","48.47","48.54","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","3","1187","1","2","5","0"
"0.015","1","0","-0.13","-1.46","-1.75","169.3","100","0","3","0.39","0","6722","0","0","18.26","17.33","33.80","32.53","164.14","163.52","118.51","118.29","25.76","25.95","25.48","25.56","69.55","69.50","70.88","70.63","47.04","46.99","48.19","48.28","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.020","1","0","-0.13","-1.46","-1.75","169.3","100","0","3","0.39","0","6722","0","0","18.31","17.26","33.76","32.33","164.14","163.52","118.51","118.29","25.76","25.95","25.48","25.56","69.55","69.50","70.88","70.63","47.05","47.01","48.51","48.59","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.025","1","0","-0.13","-1.46","-1.75","169.3","100","0","3","0.39","0","6722","0","0","18.31","17.14","33.73","32.24","164.14","163.52","118.51","118.29","25.76","25.95","25.48","25.56","69.55","69.50","70.88","70.63","47.07","47.01","48.41","48.47","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.030","1","0","-0.13","-1.46","-1.75","169.6","100","0","3","0.39","0","6740","0","0","18.29","17.01","33.72","32.23","164.14","163.52","118.51","118.29","25.76","25.95","25.48","25.56","69.55","69.50","70.88","70.63","47.08","47.02","48.34","48.40","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.17","-1.07","-1.75","169.6","100","0","3","0.42","0","6740","0","0","18.31","16.90","33.73","32.23","447.11","447.11","398.12","398.12","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.10","47.04","48.45","48.51","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.17","-1.07","-1.75","169.6","100","0","3","0.42","0","6740","0","0","18.33","16.83","33.76","32.30","447.11","447.11","398.12","398.12","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.12","47.06","48.36","48.38","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.17","-1.07","-1.75","169.6","100","0","3","0.42","0","6740","0","0","18.29","16.78","33.84","32.52","447.11","447.11","398.12","398.12","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.14","47.08","48.34","48.31","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.17","-1.07","-1.89","169.8","100","0","3","0.42","0","6729","0","0","18.22","16.74","34.01","32.97","447.11","447.11","398.12","398.12","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.15","47.10","48.37","48.30","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
