"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","06.10.2025",,,"Origin Time","1225.550","s"
"Log Time","20:30:39",,,"Start Time","1225.550","s"
"Sample Rate","200.000","Hz",,"End Time","1363.200","s"
"Duration","137.650","s",,"Start Distance","52934","m"
"Range","Lap 15",,,"End Distance","59870","m"
"Beacon Markers","             00.000       "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.49","-4.05","-1.49","168.3","100","0","3","0.36","0","6654","0","0","19.23","15.19","35.16","31.14","160.53","157.68","117.31","115.74","25.69","25.69","25.61","25.59","69.93","69.89","71.14","70.89","46.77","46.68","48.01","48.11","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.005","0","0","-0.49","-4.05","-1.49","168.3","100","0","3","0.36","0","6654","0","0","19.47","15.80","35.09","31.07","160.53","157.68","117.31","115.74","25.69","25.69","25.61","25.59","69.93","69.89","71.14","70.89","46.80","46.71","48.05","48.17","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.010","0","0","-0.49","-4.05","-0.68","168.5","100","0","3","0.36","0","6685","0","0","19.69","16.04","35.00","30.95","160.53","157.68","117.31","115.74","25.69","25.69","25.61","25.59","69.93","69.89","71.14","70.89","46.80","46.72","48.32","48.46","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.015","1","0","-0.49","-4.05","-0.68","168.5","100","0","3","0.36","0","6685","0","0","19.89","16.03","34.92","30.82","160.53","157.68","117.31","115.74","25.69","25.69","25.61","25.59","69.93","69.89","71.14","70.89","46.88","46.74","47.97","48.13","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.020","1","0","-0.49","-4.05","-0.68","168.5","100","0","3","0.36","0","6685","0","0","19.94","15.91","34.79","30.63","160.53","157.68","117.31","115.74","25.69","25.69","25.61","25.59","69.93","69.89","71.14","70.89","46.87","46.74","48.14","48.32","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.43","-2.10","-0.68","168.5","100","0","3","0.39","0","6685","0","0","19.94","15.83","34.75","30.49","447.29","447.29","398.25","398.25","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.88","46.75","48.24","48.39","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.030","1","0","-0.43","-2.10","-0.27","168.7","100","0","3","0.39","0","6707","0","0","19.86","15.73","34.71","30.46","447.29","447.29","398.25","398.25","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.90","46.76","48.07","48.21","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.43","-2.10","-0.27","168.7","100","0","3","0.39","0","6707","0","0","19.87","15.66","34.69","30.42","447.29","447.29","398.25","398.25","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.91","46.78","48.17","48.31","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.43","-2.10","-0.27","168.7","100","0","3","0.39","0","6707","0","0","19.88","15.63","34.67","30.50","447.29","447.29","398.25","398.25","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.93","46.80","48.16","48.25","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.43","-2.10","-0.18","168.9","100","0","3","0.39","0","6707","0","0","19.84","15.61","34.66","30.68","447.29","447.29","398.25","398.25","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.94","46.82","48.08","48.14","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.43","-2.10","-0.18","168.9","100","0","3","0.39","0","6707","0","0","19.78","15.58","34.69","31.04","447.29","447.29","398.25","398.25","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.96","46.85","48.12","48.13","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
