"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","06.10.2025",,,"Origin Time","1995.000","s"
"Log Time","20:30:39",,,"Start Time","1995.000","s"
"Sample Rate","200.000","Hz",,"End Time","2132.660","s"
"Duration","137.660","s",,"Start Distance","91010","m"
"Range","Lap 21",,,"End Distance","97954","m"
"Beacon Markers","                   00.000 "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.30","-2.26","-4.23","168.1","100","0","3","0.37","0","6646","0","0","17.86","14.63","34.54","32.40","491.80","486.74","418.37","414.89","27.21","27.21","27.37","27.31","85.76","85.71","89.45","88.91","46.65","46.56","47.91","47.98","0","0","0","0","0","0","0","0","0","0","0","0","6","4","1","1","2","1186","1","-0","4","140"
"0.005","0","0","-0.30","-2.26","-4.23","168.1","100","0","3","0.37","0","6646","0","0","18.11","15.00","34.52","32.36","491.80","486.74","418.37","414.89","27.21","27.21","27.37","27.31","85.76","85.71","89.45","88.91","46.68","46.60","47.98","48.02","0","0","0","0","0","0","0","0","0","0","0","0","6","4","1","1","2","1186","1","-0","4","140"
"0.010","0","0","-0.30","-2.26","-3.91","168.3","100","0","3","0.37","0","6660","0","0","18.55","15.60","34.46","32.30","491.80","486.74","418.37","414.89","27.21","27.21","27.37","27.31","85.76","85.71","89.45","88.91","46.73","46.68","48.00","48.06","0","0","0","0","0","0","0","0","0","0","0","0","6","4","1","1","2","1186","1","-0","4","140"
"0.015","1","0","-0.30","-2.26","-3.91","168.3","100","0","3","0.37","0","6660","0","0","19.17","16.19","34.40","32.23","491.80","486.74","418.37","414.89","27.21","27.21","27.37","27.31","85.76","85.71","89.45","88.91","46.80","46.71","48.03","48.08","0","0","0","0","0","0","0","0","0","0","0","0","6","4","1","1","2","1186","1","-0","4","0"
"0.020","1","0","-0.30","-2.26","-3.91","168.3","100","0","3","0.37","0","6660","0","0","19.72","16.58","34.32","32.16","491.80","486.74","418.37","414.89","27.21","27.21","27.37","27.31","85.76","85.71","89.45","88.91","46.85","46.74","48.10","48.14","0","0","0","0","0","0","0","0","0","0","0","0","6","4","1","1","2","1186","1","-0","4","0"
"0.025","1","0","-0.30","-2.26","-3.46","168.6","100","0","3","0.37","0","6688","0","0","19.84","16.68","34.18","32.05","491.80","486.74","418.37","414.89","27.21","27.21","27.37","27.31","85.76","85.71","89.45","88.91","46.86","46.75","48.25","48.30","0","0","0","0","0","0","0","0","0","0","0","0","6","4","1","1","2","1186","1","-0","4","0"
"0.030","1","0","-0.25","-2.76","-3.46","168.6","100","0","3","0.35","0","6688","0","0","19.70","16.56","34.00","31.89","447.43","447.43","398.34","398.34","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.85","46.76","48.02","48.08","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.25","-2.76","-3.46","168.6","100","0","3","0.35","0","6688","0","0","19.51","16.49","33.81","31.72","447.43","447.43","398.34","398.34","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.83","46.75","48.31","48.37","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.25","-2.76","-3.46","168.6","100","0","3","0.35","0","6688","0","0","19.44","16.45","33.70","31.59","447.43","447.43","398.34","398.34","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.86","46.77","48.23","48.31","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.25","-2.76","-3.02","168.8","100","0","3","0.35","0","6711","0","0","19.40","16.42","33.62","31.43","447.43","447.43","398.34","398.34","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.88","46.78","48.18","48.24","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.25","-2.76","-3.02","168.8","100","0","3","0.35","0","6711","0","0","19.38","16.41","33.57","31.41","447.43","447.43","398.34","398.34","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.90","46.80","48.26","48.29","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
