"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","17.08.2025",,,"Origin Time","1599.820","s"
"Log Time","23:53:04",,,"Start Time","1599.820","s"
"Sample Rate","200.000","Hz",,"End Time","1737.500","s"
"Duration","137.680","s",,"Start Distance","60332","m"
"Range","Lap 14",,,"End Distance","67268","m"
"Beacon Markers","            00.000     "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.14","-1.56","-2.66","164.4","100","0","3","0.41","0","6505","0","0","16.61","14.98","32.58","31.20","429.67","427.43","382.84","381.93","26.02","26.22","25.79","26.08","79.57","79.56","80.35","80.22","45.65","45.62","46.95","46.96","0","0","0","0","0","0","0","0","0","0","0","0","5","4","2","0","3","1186","1","2","5","76"
"0.005","0","0","-0.14","-1.56","-2.48","164.7","100","0","3","0.41","0","6527","0","0","17.11","15.41","32.51","31.23","429.67","427.43","382.84","381.93","26.02","26.22","25.79","26.08","79.57","79.56","80.35","80.22","45.72","45.66","47.00","47.02","0","0","0","0","0","0","0","0","0","0","0","0","5","4","2","0","3","1186","1","2","5","76"
"0.010","0","0","-0.13","-1.74","-2.48","164.7","100","0","3","0.45","0","6527","0","0","17.57","15.75","32.41","31.22","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.76","45.69","47.05","47.07","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.015","1","0","-0.13","-1.74","-2.48","164.7","100","0","3","0.45","0","6527","0","0","17.75","15.90","32.27","31.14","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.79","45.72","47.12","47.15","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.020","1","0","-0.13","-1.74","-2.48","164.7","100","0","3","0.45","0","6527","0","0","17.69","15.87","32.12","30.99","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.79","45.72","47.45","47.48","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.13","-1.74","-2.30","164.9","100","0","3","0.45","0","6559","0","0","17.54","15.77","31.95","30.82","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.77","45.72","47.04","47.08","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.13","-1.74","-2.30","164.9","100","0","3","0.45","0","6559","0","0","17.44","15.66","31.81","30.65","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.77","45.74","47.12","47.18","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.13","-1.74","-2.30","164.9","100","0","3","0.45","0","6559","0","0","17.44","15.60","31.71","30.50","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.82","45.76","47.32","47.37","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.13","-1.74","-2.21","165.1","100","0","3","0.45","0","6572","0","0","17.48","15.54","31.60","30.39","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.84","45.78","47.16","47.19","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.13","-1.74","-2.21","165.1","100","0","3","0.45","0","6572","0","0","17.52","15.48","31.51","30.34","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.87","45.79","47.18","47.22","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.13","-1.74","-2.21","165.1","100","0","3","0.45","0","6572","0","0","17.56","15.49","31.54","30.40","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.89","45.82","47.17","47.20","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
