"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","03.10.2025",,,"Origin Time","761.620","s"
"Log Time","10:10:02",,,"Start Time","761.620","s"
"Sample Rate","200.000","Hz",,"End Time","899.395","s"
"Duration","137.775","s",,"Start Distance","35276","m"
"Range","Lap 7",,,"End Distance","42215","m"
"Beacon Markers","     00.000 "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.25","-1.97","-3.73","166.2","100","0","3","0.39","0","6575","0","0","18.34","15.88","34.20","32.39","448.22","444.82","377.03","375.17","27.06","27.07","27.17","27.22","84.16","84.24","87.41","87.93","46.20","46.13","47.45","47.50","0","0","0","0","0","0","0","0","0","0","0","0","7","5","2","2","2","1186","1","-0","3","141"
"0.005","0","0","-0.25","-1.97","-3.73","166.4","100","0","3","0.39","0","6598","0","0","18.89","16.30","34.12","32.33","448.22","444.82","377.03","375.17","27.06","27.07","27.17","27.22","84.16","84.24","87.41","87.93","46.24","46.16","47.50","47.54","0","0","0","0","0","0","0","0","0","0","0","0","7","5","2","2","2","1186","1","-0","3","141"
"0.010","0","0","-0.22","-2.54","-3.73","166.4","100","0","3","0.36","0","6598","0","0","19.25","16.50","34.02","32.25","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.28","46.19","47.57","47.62","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.015","1","0","-0.22","-2.54","-3.73","166.4","100","0","3","0.36","0","6598","0","0","19.18","16.50","33.86","32.11","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.29","46.20","47.73","47.79","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.020","1","0","-0.22","-2.54","-3.73","166.4","100","0","3","0.36","0","6598","0","0","18.99","16.41","33.67","31.92","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.27","46.19","47.47","47.53","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.22","-2.54","-3.73","166.6","100","0","3","0.36","0","6626","0","0","18.84","16.37","33.55","31.76","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.26","46.20","47.76","47.83","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.22","-2.54","-3.73","166.6","100","0","3","0.36","0","6626","0","0","18.88","16.37","33.49","31.58","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.31","46.22","47.69","47.77","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.22","-2.54","-3.73","166.6","100","0","3","0.36","0","6626","0","0","18.90","16.37","33.40","31.43","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.33","46.24","47.63","47.68","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.22","-2.54","-3.73","166.9","100","0","3","0.36","0","6637","0","0","18.93","16.38","33.35","31.45","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.36","46.26","47.70","47.74","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.22","-2.54","-3.73","166.9","100","0","3","0.36","0","6637","0","0","18.98","16.40","33.34","31.53","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.38","46.29","47.60","47.63","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.22","-2.54","-3.73","166.9","100","0","3","0.36","0","6637","0","0","19.01","16.38","33.44","31.73","447.61","447.61","398.45","398.45","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.40","46.31","47.53","47.56","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
