"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","07.10.2025",,,"Origin Time","46.582","s"
"Log Time","14:30:34",,,"Start Time","46.585","s"
"Sample Rate","200.000","Hz",,"End Time","184.520","s"
"Duration","137.935","s",,"Start Distance","517","m"
"Range","Lap 2",,,"End Distance","7454","m"
"Beacon Markers","       "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.22","-2.22","-2.56","167.9","100","0","3","0.26","0","6642","0","0","18.94","16.31","34.50","32.33","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.69","46.62","47.95","48.03","0","0","0","0","0","0","0","0","0","0","0","0","4","6","0","-0","4","1186","1","1","7","47"
"0.005","0","0","-0.22","-2.22","-2.56","167.9","100","0","3","0.26","0","6642","0","0","19.03","16.43","34.38","32.20","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.71","46.63","48.09","48.16","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","4","1188","3","3","7","0"
"0.010","0","0","-0.22","-2.22","-2.38","168.2","100","0","3","0.26","0","6666","0","0","18.95","16.36","34.23","32.04","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.71","46.64","47.83","47.91","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","4","1188","3","3","7","0"
"0.015","1","0","-0.22","-2.22","-2.38","168.2","100","0","3","0.26","0","6666","0","0","18.89","16.30","34.12","31.90","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.71","46.64","48.15","48.24","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","4","1188","3","3","7","0"
"0.020","1","0","-0.22","-2.22","-2.38","168.2","100","0","3","0.26","0","6666","0","0","18.86","16.26","34.00","31.77","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.73","46.66","48.10","48.17","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.22","-2.22","-2.25","168.4","100","0","3","0.26","0","6691","0","0","18.85","16.20","33.87","31.65","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.75","46.67","48.05","48.13","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.22","-2.22","-2.25","168.4","100","0","3","0.26","0","6691","0","0","18.87","16.17","33.76","31.55","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.78","46.69","48.14","48.23","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.22","-2.22","-2.25","168.4","100","0","3","0.26","0","6691","0","0","18.96","16.15","33.77","31.53","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.81","46.72","48.04","48.11","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.22","-2.22","-2.21","168.6","100","0","3","0.26","0","6686","0","0","19.07","16.16","33.83","31.59","447.58","447.58","398.43","398.43","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.84","46.74","47.97","48.02","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.23","-1.68","-2.21","168.6","100","0","3","0.38","0","6686","0","0","19.12","16.15","34.02","31.86","447.01","447.01","398.06","398.06","26.66","26.66","26.46","26.46","80.01","80.00","80.00","80.00","46.86","46.76","47.97","48.02","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
"0.050","2","0","-0.23","-1.68","-2.21","168.6","100","0","3","0.38","0","6686","0","0","19.08","16.15","34.27","32.23","447.01","447.01","398.06","398.06","26.66","26.66","26.46","26.46","80.01","80.00","80.00","80.00","46.86","46.78","47.98","48.03","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
