"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","06.10.2025",,,"Origin Time","1717.240","s"
"Log Time","20:30:39",,,"Start Time","1717.240","s"
"Sample Rate","200.000","Hz",,"End Time","1855.340","s"
"Duration","138.100","s",,"Start Distance","77107","m"
"Range","Lap 19",,,"End Distance","84048","m"
"Beacon Markers","                 00.000   "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.24","-1.32","-1.53","165.7","100","0","3","0.36","0","6552","0","0","17.36","14.85","33.76","32.14","155.46","153.20","113.87","112.59","25.69","25.69","25.60","25.58","69.85","69.86","71.04","70.85","45.99","45.95","47.26","47.29","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","2","1187","2","1","6","75"
"0.005","0","0","-0.24","-1.32","-1.58","165.9","100","0","3","0.36","0","6563","0","0","17.57","15.39","33.73","32.14","155.46","153.20","113.87","112.59","25.69","25.69","25.60","25.58","69.85","69.86","71.04","70.85","46.02","46.01","47.29","47.33","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","2","1187","2","1","6","75"
"0.010","0","0","-0.24","-1.32","-1.58","165.9","100","0","3","0.36","0","6563","0","0","17.87","16.05","33.68","32.08","155.46","153.20","113.87","112.59","25.69","25.69","25.60","25.58","69.85","69.86","71.04","70.85","46.07","46.07","47.34","47.39","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","2","1187","2","1","6","75"
"0.015","1","0","-0.24","-1.32","-1.58","165.9","100","0","3","0.36","0","6563","0","0","18.16","16.58","33.61","31.99","155.46","153.20","113.87","112.59","25.69","25.69","25.60","25.58","69.85","69.86","71.04","70.85","46.10","46.09","47.39","47.46","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.020","1","0","-0.24","-1.32","-1.53","166.1","100","0","3","0.36","0","6589","0","0","18.36","16.81","33.53","31.85","155.46","153.20","113.87","112.59","25.69","25.69","25.60","25.58","69.85","69.86","71.04","70.85","46.13","46.12","47.53","47.62","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.24","-1.32","-1.53","166.1","100","0","3","0.36","0","6589","0","0","18.47","16.75","33.43","31.65","155.46","153.20","113.87","112.59","25.69","25.69","25.60","25.58","69.85","69.86","71.04","70.85","46.16","46.12","47.28","47.38","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.24","-1.32","-1.53","166.1","100","0","3","0.36","0","6589","0","0","18.48","16.65","33.34","31.47","155.46","153.20","113.87","112.59","25.69","25.69","25.60","25.58","69.85","69.86","71.04","70.85","46.16","46.11","47.61","47.72","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.20","-1.05","-1.53","166.1","100","0","3","0.39","0","6589","0","0","18.46","16.54","33.28","31.32","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.18","46.13","47.53","47.61","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.20","-1.05","-1.53","166.4","100","0","3","0.39","0","6612","0","0","18.44","16.45","33.22","31.22","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.20","46.14","47.45","47.52","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.20","-1.05","-1.53","166.4","100","0","3","0.39","0","6612","0","0","18.42","16.40","33.18","31.21","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.21","46.16","47.56","47.64","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.20","-1.05","-1.53","166.4","100","0","3","0.39","0","6612","0","0","18.41","16.36","33.15","31.16","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.24","46.18","47.49","47.55","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
