"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","03.10.2025",,,"Origin Time","482.869","s"
"Log Time","10:10:02",,,"Start Time","482.870","s"
"Sample Rate","200.000","Hz",,"End Time","620.990","s"
"Duration","138.120","s",,"Start Distance","21387","m"
"Range","Lap 5",,,"End Distance","28324","m"
"Beacon Markers","      "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","0.50","10.67","20.88","163.2","100","0","3","0.40","0","6471","0","0","14.61","18.47","30.17","34.55","488.06","482.80","414.34","411.43","27.24","27.23","27.31","27.33","86.00","85.94","88.90","89.10","45.13","45.51","46.74","46.58","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.005","0","0","0.62","12.59","20.88","163.2","100","0","3","0.39","0","6471","0","0","14.49","18.36","30.10","34.68","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.11","45.49","47.01","46.84","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.010","0","0","0.62","12.59","21.01","163.5","100","0","3","0.39","0","6481","0","0","14.34","18.28","30.04","34.81","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.16","45.56","46.59","46.44","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.015","1","0","0.62","12.59","21.01","163.5","100","0","3","0.39","0","6481","0","0","14.06","18.09","29.95","34.77","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.15","45.52","46.79","46.62","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.020","1","0","0.62","12.59","21.01","163.5","100","0","3","0.39","0","6481","0","0","13.92","17.97","29.85","34.78","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.13","45.54","47.03","46.83","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","0.62","12.59","20.88","163.7","100","0","3","0.39","0","6498","0","0","13.76","17.92","29.65","34.72","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.15","45.56","46.88","46.69","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.030","1","0","0.62","12.59","20.88","163.7","100","0","3","0.39","0","6498","0","0","13.63","17.90","29.48","34.66","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.15","45.57","46.98","46.80","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.035","2","0","0.62","12.59","20.88","163.7","100","0","3","0.39","0","6498","0","0","13.57","17.94","29.34","34.58","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.18","45.61","47.00","46.85","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.040","2","0","0.62","12.59","20.61","163.9","100","0","3","0.39","0","6517","0","0","13.50","17.92","29.20","34.52","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.19","45.63","46.92","46.77","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.045","2","0","0.62","12.59","20.61","163.9","100","0","3","0.39","0","6517","0","0","13.44","17.90","29.20","34.52","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.21","45.66","46.89","46.74","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.050","2","0","0.62","12.59","20.61","163.9","100","0","3","0.39","0","6517","0","0","13.34","17.89","29.28","34.60","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.23","45.68","46.87","46.71","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.055","3","0","0.62","12.59","19.98","164.1","100","0","3","0.39","0","6513","0","0","13.25","17.86","29.34","34.70","447.50","447.50","398.38","398.38","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.24","45.69","46.93","46.79","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
