"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","03.10.2025",,,"Origin Time","344.630","s"
"Log Time","10:10:02",,,"Start Time","344.630","s"
"Sample Rate","200.000","Hz",,"End Time","482.865","s"
"Duration","138.235","s",,"Start Distance","14445","m"
"Range","Lap 4",,,"End Distance","21387","m"
"Beacon Markers","  00.000    "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","0.76","15.64","25.15","163.9","100","0","3","0.25","0","6505","0","0","12.74","20.43","28.57","35.50","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.16","45.72","46.99","46.77","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.005","0","0","0.76","15.64","25.15","163.9","100","0","3","0.25","0","6505","0","0","12.68","20.33","28.51","35.54","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.18","45.73","47.02","46.77","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.010","0","0","0.76","15.64","25.15","163.9","100","0","3","0.25","0","6505","0","0","12.74","20.18","28.50","35.75","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.21","45.74","47.05","46.81","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.015","1","0","0.76","15.64","25.11","164.1","100","0","3","0.25","0","6511","0","0","12.53","19.87","28.33","35.79","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.23","45.72","46.92","46.69","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.020","1","0","0.76","15.64","25.11","164.1","100","0","3","0.25","0","6511","0","0","12.37","19.65","28.15","35.74","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.19","45.71","47.29","47.04","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.025","1","0","0.76","15.64","25.11","164.1","100","0","3","0.25","0","6511","0","0","12.32","19.46","27.96","35.70","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.22","45.75","47.23","46.98","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","0.76","15.64","24.75","164.3","100","0","3","0.25","0","6535","0","0","12.30","19.29","27.72","35.60","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.22","45.75","47.26","47.01","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","0.76","15.64","24.75","164.3","100","0","3","0.25","0","6535","0","0","12.30","19.20","27.49","35.50","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.24","45.78","47.34","47.10","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","4","1188","3","3","7","0"
"0.040","2","0","0.76","15.64","24.75","164.3","100","0","3","0.25","0","6535","0","0","12.29","19.14","27.27","35.45","447.63","447.63","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.26","45.81","47.27","47.01","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1189","3","3","7","0"
"0.045","2","0","0.92","16.36","24.75","164.3","100","0","3","0.37","0","6535","0","0","12.26","19.08","27.09","35.47","447.08","447.08","398.11","398.11","26.66","26.66","26.46","26.46","80.00","80.01","80.00","80.00","45.28","45.83","47.25","46.95","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1189","3","3","7","0"
"0.050","2","0","0.92","16.36","24.17","164.5","100","0","3","0.37","0","6559","0","0","12.21","19.02","27.02","35.58","447.08","447.08","398.11","398.11","26.66","26.66","26.46","26.46","80.00","80.01","80.00","80.00","45.30","45.85","47.23","46.92","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1189","3","3","7","0"
