"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","18.08.2025",,,"Origin Time","376.229","s"
"Log Time","20:31:54",,,"Start Time","376.230","s"
"Sample Rate","200.000","Hz",,"End Time","514.975","s"
"Duration","138.745","s",,"Start Distance","6010","m"
"Range","Lap 2",,,"End Distance","12950","m"
"Beacon Markers","              "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","0.08","1.08","1.49","162.3","100","0","3","0.41","0","6445","0","0","17.61","18.46","33.00","33.45","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.09","45.13","46.35","46.37","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.005","0","0","0.08","1.08","1.49","162.3","100","0","3","0.41","0","6445","0","0","17.77","18.59","33.01","33.39","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.12","45.15","46.37","46.38","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.010","0","0","0.08","1.08","1.49","162.3","100","0","3","0.41","0","6445","0","0","17.66","18.49","33.03","33.38","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.10","45.14","46.38","46.38","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.015","1","0","0.08","1.08","1.40","162.6","100","0","3","0.41","0","6465","0","0","17.52","18.31","33.03","33.36","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.11","45.15","46.42","46.41","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.020","1","0","0.08","1.08","1.40","162.6","100","0","3","0.41","0","6465","0","0","17.38","18.09","32.98","33.35","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.12","45.15","46.46","46.44","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.025","1","0","0.08","1.08","1.40","162.6","100","0","3","0.41","0","6465","0","0","17.18","17.87","32.93","33.35","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.14","45.16","46.46","46.45","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1171","3","3","7","0"
"0.030","1","0","0.08","1.08","1.26","162.8","100","0","3","0.41","0","6465","0","0","16.93","17.63","32.92","33.33","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.13","45.18","46.47","46.48","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1171","3","3","7","0"
"0.035","2","0","0.08","1.08","1.26","162.8","100","0","3","0.41","0","6465","0","0","16.78","17.38","32.96","33.28","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.13","45.18","46.49","46.50","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1171","3","3","7","0"
"0.040","2","0","0.08","1.08","1.26","162.8","100","0","3","0.41","0","6465","0","0","16.70","17.16","33.01","33.31","447.61","443.86","388.52","386.32","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.16","45.19","46.46","46.43","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1171","3","3","7","0"
"0.045","2","0","0.05","0.89","1.26","162.8","100","0","3","0.38","0","6465","0","0","16.66","16.94","33.13","33.57","446.91","443.18","388.09","385.89","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.19","45.20","46.41","46.38","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1171","3","3","7","0"
"0.050","2","0","0.05","0.89","1.08","163.1","100","0","3","0.38","0","6453","0","0","16.64","16.74","33.45","34.03","446.91","443.18","388.09","385.89","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.20","45.21","46.40","46.38","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1171","3","3","7","0"
"0.055","2","0","0.05","0.89","1.08","163.1","100","0","3","0.38","0","6453","0","0","16.64","16.61","33.84","34.52","446.91","443.18","388.09","385.89","26.51","27.07","26.60","26.90","80.55","81.17","84.56","84.55","45.22","45.22","46.47","46.43","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1171","3","3","7","0"
