"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","06.10.2025",,,"Origin Time","481.416","s"
"Log Time","20:30:39",,,"Start Time","481.420","s"
"Sample Rate","200.000","Hz",,"End Time","619.845","s"
"Duration","138.425","s",,"Start Distance","18611","m"
"Range","Lap 7",,,"End Distance","25556","m"
"Beacon Markers","                    "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.25","-1.79","-2.25","167.0","100","0","3","0.38","0","6608","0","0","18.79","16.30","34.25","32.48","151.98","149.54","111.46","110.26","25.69","25.69","25.62","25.59","69.85","69.85","71.25","70.96","46.44","46.37","47.70","47.74","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","3","1187","1","1","5","55"
"0.005","0","0","-0.25","-1.79","-2.07","167.3","100","0","3","0.38","0","6636","0","0","18.97","16.47","34.16","32.38","151.98","149.54","111.46","110.26","25.69","25.69","25.62","25.59","69.85","69.85","71.25","70.96","46.46","46.38","48.01","48.06","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","0","3","1187","1","1","5","55"
"0.010","0","0","-0.19","-1.79","-2.07","167.3","100","0","3","0.38","0","6636","0","0","18.87","16.49","34.05","32.25","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.48","46.41","47.64","47.69","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.015","1","0","-0.19","-1.79","-2.07","167.3","100","0","3","0.38","0","6636","0","0","18.70","16.49","33.90","32.08","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.45","46.41","47.76","47.82","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.020","1","0","-0.19","-1.79","-2.07","167.3","100","0","3","0.38","0","6636","0","0","18.70","16.51","33.83","31.93","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.47","46.43","47.94","48.01","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.19","-1.79","-2.03","167.5","100","0","3","0.38","0","6655","0","0","18.79","16.54","33.78","31.81","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.50","46.45","47.81","47.87","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.19","-1.79","-2.03","167.5","100","0","3","0.38","0","6655","0","0","18.86","16.56","33.69","31.73","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.53","46.47","47.89","47.94","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.19","-1.79","-2.03","167.5","100","0","3","0.38","0","6655","0","0","18.93","16.57","33.65","31.74","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.55","46.48","47.88","47.93","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.19","-1.79","-2.03","167.7","100","0","3","0.38","0","6657","0","0","19.02","16.58","33.64","31.81","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.58","46.51","47.77","47.82","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.19","-1.79","-2.03","167.7","100","0","3","0.38","0","6657","0","0","19.13","16.57","33.76","32.00","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.61","46.54","47.75","47.79","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.19","-1.79","-2.03","167.7","100","0","3","0.38","0","6657","0","0","19.15","16.54","34.03","32.30","447.45","447.45","398.35","398.35","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.62","46.55","47.74","47.80","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
