"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","17.08.2025",,,"Origin Time","1106.130","s"
"Log Time","23:53:04",,,"Start Time","1106.135","s"
"Sample Rate","200.000","Hz",,"End Time","1244.570","s"
"Duration","138.435","s",,"Start Distance","37512","m"
"Range","Lap 10",,,"End Distance","44456","m"
"Beacon Markers","                 "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.19","-2.18","-3.16","166.3","100","0","3","0.46","0","6580","0","0","17.51","15.76","32.16","30.66","448.52","448.52","399.02","399.02","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.27","46.19","47.46","47.53","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.005","0","0","-0.19","-2.18","-3.16","166.3","100","0","3","0.46","0","6580","0","0","17.90","15.98","32.21","30.62","448.52","448.52","399.02","399.02","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.27","46.22","47.75","47.83","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.010","0","0","-0.19","-2.18","-3.11","166.5","100","0","3","0.46","0","6614","0","0","18.01","15.93","32.26","30.55","448.52","448.52","399.02","399.02","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.30","46.23","47.34","47.42","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","4","1188","3","3","7","0"
"0.015","1","0","-0.19","-2.18","-3.11","166.5","100","0","3","0.46","0","6614","0","0","17.96","15.77","32.25","30.45","448.52","448.52","399.02","399.02","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.30","46.21","47.48","47.56","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.020","1","0","-0.19","-2.18","-3.11","166.5","100","0","3","0.46","0","6614","0","0","17.88","15.64","32.29","30.41","448.52","448.52","399.02","399.02","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.31","46.24","47.69","47.76","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.025","1","0","-0.19","-2.18","-3.16","166.8","100","0","3","0.46","0","6628","0","0","17.78","15.40","32.28","30.37","448.52","448.52","399.02","399.02","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.32","46.25","47.53","47.59","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.030","1","0","-0.19","-2.18","-3.16","166.8","100","0","3","0.46","0","6628","0","0","17.67","15.18","32.22","30.33","448.52","448.52","399.02","399.02","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.33","46.24","47.63","47.68","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.19","-2.18","-3.16","166.8","100","0","3","0.46","0","6628","0","0","17.56","14.95","32.18","30.39","448.52","448.52","399.02","399.02","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.35","46.26","47.66","47.70","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.18","-1.62","-3.16","166.8","100","0","3","0.38","0","6628","0","0","17.45","14.73","32.15","30.51","448.17","448.17","398.79","398.79","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.35","46.27","47.57","47.58","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.18","-1.62","-3.25","167.0","100","0","3","0.38","0","6622","0","0","17.39","14.54","32.23","30.73","448.17","448.17","398.79","398.79","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.36","46.29","47.54","47.55","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.18","-1.62","-3.25","167.0","100","0","3","0.38","0","6622","0","0","17.36","14.37","32.45","31.10","448.17","448.17","398.79","398.79","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.38","46.30","47.48","47.49","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
