"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","20.10.2025",,,"Origin Time","330.765","s"
"Log Time","11:52:41",,,"Start Time","330.765","s"
"Sample Rate","200.000","Hz",,"End Time","469.255","s"
"Duration","138.490","s",,"Start Distance","13585","m"
"Range","Lap 4",,,"End Distance","20538","m"
"Beacon Markers","  00.000      "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.38","-4.47","-4.14","168.8","100","0","3","0.39","0","6679","0","0","19.27","15.38","35.60","32.61","494.10","490.33","420.82","418.04","26.99","27.17","27.02","27.04","82.35","82.17","86.90","86.05","46.93","46.77","48.12","48.25","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1187","2","2","6","140"
"0.005","0","0","-0.38","-4.47","-4.14","168.8","100","0","3","0.39","0","6679","0","0","19.50","15.51","35.60","32.54","494.10","490.33","420.82","418.04","26.99","27.17","27.02","27.04","82.35","82.17","86.90","86.05","46.93","46.78","48.41","48.52","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1187","2","2","6","140"
"0.010","0","0","-0.34","-3.78","-4.14","168.8","100","0","3","0.37","0","6679","0","0","19.63","15.54","35.49","32.48","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.01","46.83","48.06","48.16","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1188","2","2","6","0"
"0.015","1","0","-0.34","-3.78","-3.28","169.0","100","0","3","0.37","0","6704","0","0","19.61","15.43","35.32","32.35","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","46.98","46.82","48.24","48.36","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1188","2","2","6","0"
"0.020","1","0","-0.34","-3.78","-3.28","169.0","100","0","3","0.37","0","6704","0","0","19.63","15.38","35.21","32.20","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.00","46.84","48.42","48.52","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1188","2","2","6","0"
"0.025","1","0","-0.34","-3.78","-3.28","169.0","100","0","3","0.37","0","6704","0","0","19.59","15.29","35.11","32.10","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.02","46.87","48.26","48.34","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.030","1","0","-0.34","-3.78","-2.52","169.3","100","0","3","0.37","0","6726","0","0","19.49","15.13","34.97","32.09","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.03","46.87","48.34","48.41","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.34","-3.78","-2.52","169.3","100","0","3","0.37","0","6726","0","0","19.44","15.02","34.85","32.11","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.05","46.88","48.36","48.42","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.34","-3.78","-2.52","169.3","100","0","3","0.37","0","6726","0","0","19.39","14.97","34.80","32.15","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.07","46.91","48.28","48.32","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.34","-3.78","-2.07","169.5","100","0","3","0.37","0","6721","0","0","19.34","14.95","34.86","32.32","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.08","46.93","48.26","48.30","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.34","-3.78","-2.07","169.5","100","0","3","0.37","0","6721","0","0","19.30","14.95","34.97","32.63","447.26","447.26","398.22","398.22","26.76","26.96","26.36","26.46","80.00","80.00","80.00","80.00","47.10","46.96","48.22","48.26","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
