"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","17.08.2025",,,"Origin Time","914.295","s"
"Log Time","23:53:04",,,"Start Time","914.295","s"
"Sample Rate","200.000","Hz",,"End Time","1053.250","s"
"Duration","138.955","s",,"Start Distance","30020","m"
"Range","Lap 8",,,"End Distance","36963","m"
"Beacon Markers","      00.000           "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.27","-1.91","-2.57","166.5","100","0","3","0.39","0","6594","0","0","17.83","14.95","32.21","30.20","474.57","473.64","413.88","413.43","26.47","26.68","26.26","26.54","80.14","80.17","81.01","80.85","46.25","46.21","47.54","47.61","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","2","1","1186","-0","1","6","89"
"0.005","0","0","-0.27","-1.91","-2.57","166.5","100","0","3","0.39","0","6594","0","0","18.48","15.44","32.19","30.14","474.57","473.64","413.88","413.43","26.47","26.68","26.26","26.54","80.14","80.17","81.01","80.85","46.32","46.24","47.57","47.62","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","2","1","1186","-0","1","6","89"
"0.010","0","0","-0.27","-1.91","-2.57","166.5","100","0","3","0.39","0","6594","0","0","18.82","15.59","32.07","30.13","474.57","473.64","413.88","413.43","26.47","26.68","26.26","26.54","80.14","80.17","81.01","80.85","46.34","46.26","47.64","47.68","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","2","1","1186","-0","1","6","89"
"0.015","1","0","-0.27","-1.91","-2.57","166.8","100","0","3","0.39","0","6629","0","0","18.81","15.58","31.88","30.06","474.57","473.64","413.88","413.43","26.47","26.68","26.26","26.54","80.14","80.17","81.01","80.85","46.35","46.27","47.78","47.82","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.020","1","0","-0.27","-1.91","-2.57","166.8","100","0","3","0.39","0","6629","0","0","18.64","15.45","31.64","29.92","474.57","473.64","413.88","413.43","26.47","26.68","26.26","26.54","80.14","80.17","81.01","80.85","46.35","46.27","47.52","47.55","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.27","-1.91","-2.57","166.8","100","0","3","0.39","0","6629","0","0","18.46","15.35","31.46","29.78","474.57","473.64","413.88","413.43","26.47","26.68","26.26","26.54","80.14","80.17","81.01","80.85","46.34","46.27","47.81","47.86","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.27","-1.91","-2.57","167.0","100","0","3","0.39","0","6643","0","0","18.30","15.28","31.36","29.68","474.57","473.64","413.88","413.43","26.47","26.68","26.26","26.54","80.14","80.17","81.01","80.85","46.35","46.29","47.73","47.79","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.24","-1.51","-2.57","167.0","100","0","3","0.40","0","6643","0","0","18.14","15.22","31.29","29.62","448.34","448.34","398.90","398.90","26.46","26.66","26.16","26.46","80.00","80.00","80.00","80.00","46.37","46.31","47.65","47.68","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.040","2","0","-0.24","-1.51","-2.57","167.0","100","0","3","0.40","0","6643","0","0","18.02","15.18","31.28","29.71","448.34","448.34","398.90","398.90","26.46","26.66","26.16","26.46","80.00","80.00","80.00","80.00","46.39","46.33","47.71","47.74","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.24","-1.51","-2.57","167.0","100","0","3","0.40","0","6643","0","0","17.94","15.16","31.39","29.86","448.34","448.34","398.90","398.90","26.46","26.66","26.16","26.46","80.00","80.00","80.00","80.00","46.41","46.35","47.61","47.63","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.24","-1.51","-2.62","167.2","100","0","3","0.40","0","6630","0","0","17.86","15.16","31.56","30.17","448.34","448.34","398.90","398.90","26.46","26.66","26.16","26.46","80.00","80.00","80.00","80.00","46.43","46.37","47.55","47.55","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
