"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","06.10.2025",,,"Origin Time","1502.940","s"
"Log Time","20:30:39",,,"Start Time","1502.940","s"
"Sample Rate","200.000","Hz",,"End Time","1642.230","s"
"Duration","139.290","s",,"Start Distance","66826","m"
"Range","Lap 17",,,"End Distance","73783","m"
"Beacon Markers","               00.000     "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.27","-3.85","-6.16","166.3","100","0","3","0.36","0","6576","0","0","17.37","14.91","33.64","32.21","479.48","476.15","409.32","406.93","27.21","27.15","27.38","27.25","85.76","85.06","89.59","88.28","46.21","46.08","47.43","47.47","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","140"
"0.005","0","0","-0.27","-3.85","-6.16","166.5","100","0","3","0.36","0","6589","0","0","17.51","15.17","33.59","32.14","479.48","476.15","409.32","406.93","27.21","27.15","27.38","27.25","85.76","85.06","89.59","88.28","46.25","46.10","47.48","47.53","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","140"
"0.010","0","0","-0.27","-3.85","-6.16","166.5","100","0","3","0.36","0","6589","0","0","17.64","15.60","33.54","32.07","479.48","476.15","409.32","406.93","27.21","27.15","27.38","27.25","85.76","85.06","89.59","88.28","46.27","46.15","47.50","47.54","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","0"
"0.015","1","0","-0.27","-3.85","-6.16","166.5","100","0","3","0.36","0","6589","0","0","17.76","16.10","33.50","31.99","479.48","476.15","409.32","406.93","27.21","27.15","27.38","27.25","85.76","85.06","89.59","88.28","46.29","46.21","47.53","47.58","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","0"
"0.020","1","0","-0.27","-3.85","-5.89","166.7","100","0","3","0.36","0","6609","0","0","17.83","16.44","33.44","31.84","479.48","476.15","409.32","406.93","27.21","27.15","27.38","27.25","85.76","85.06","89.59","88.28","46.31","46.25","47.66","47.75","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","0"
"0.025","1","0","-0.27","-3.85","-5.89","166.7","100","0","3","0.36","0","6609","0","0","17.85","16.38","33.38","31.64","479.48","476.15","409.32","406.93","27.21","27.15","27.38","27.25","85.76","85.06","89.59","88.28","46.34","46.26","47.39","47.51","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","0"
"0.030","1","0","-0.27","-3.85","-5.89","166.7","100","0","3","0.36","0","6609","0","0","17.83","16.21","33.34","31.47","479.48","476.15","409.32","406.93","27.21","27.15","27.38","27.25","85.76","85.06","89.59","88.28","46.35","46.25","47.70","47.85","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","0"
"0.035","2","0","-0.26","-4.19","-5.89","166.7","100","0","3","0.37","0","6609","0","0","17.80","16.03","33.32","31.31","447.32","447.32","398.26","398.26","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.38","46.22","47.63","47.78","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.26","-4.19","-5.58","166.9","100","0","3","0.37","0","6626","0","0","17.78","15.91","33.29","31.17","447.32","447.32","398.26","398.26","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.40","46.23","47.56","47.71","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.26","-4.19","-5.58","166.9","100","0","3","0.37","0","6626","0","0","17.75","15.89","33.32","31.06","447.32","447.32","398.26","398.26","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.42","46.25","47.68","47.82","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.26","-4.19","-5.58","166.9","100","0","3","0.37","0","6626","0","0","17.71","15.89","33.37","30.91","447.32","447.32","398.26","398.26","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.44","46.27","47.61","47.76","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
