"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","21.08.2025",,,"Origin Time","1805.940","s"
"Log Time","00:16:20",,,"Start Time","1805.940","s"
"Sample Rate","200.000","Hz",,"End Time","1945.260","s"
"Duration","139.320","s",,"Start Distance","69325","m"
"Range","Lap 12",,,"End Distance","76269","m"
"Beacon Markers","          00.000  "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.33","-3.61","-5.44","166.7","100","0","3","0.39","0","6598","0","0","18.48","15.34","34.83","32.59","450.24","445.08","389.38","387.15","26.00","26.41","26.16","26.29","77.31","78.82","82.12","82.59","46.33","46.25","47.66","47.74","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","2","2","1188","2","-0","6","446"
"0.005","0","0","-0.33","-3.61","-5.26","167.0","100","0","3","0.39","0","6619","0","0","19.05","16.01","34.77","32.47","450.24","445.08","389.38","387.15","26.00","26.41","26.16","26.29","77.31","78.82","82.12","82.59","46.40","46.30","47.67","47.76","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","2","2","1188","2","-0","6","446"
"0.010","0","0","-0.33","-3.61","-5.26","167.0","100","0","3","0.39","0","6619","0","0","19.74","16.54","34.71","32.40","450.24","445.08","389.38","387.15","26.00","26.41","26.16","26.29","77.31","78.82","82.12","82.59","46.47","46.33","47.70","47.77","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","2","2","1188","2","-0","6","0"
"0.015","1","0","-0.33","-3.61","-5.26","167.0","100","0","3","0.39","0","6619","0","0","20.23","16.73","34.61","32.33","450.24","445.08","389.38","387.15","26.00","26.41","26.16","26.29","77.31","78.82","82.12","82.59","46.50","46.35","47.76","47.82","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","2","2","1188","2","-0","6","0"
"0.020","1","0","-0.33","-3.61","-4.90","167.2","100","0","3","0.39","0","6644","0","0","20.29","16.67","34.46","32.26","450.24","445.08","389.38","387.15","26.00","26.41","26.16","26.29","77.31","78.82","82.12","82.59","46.50","46.36","47.82","47.89","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","2","2","1188","2","-0","6","0"
"0.025","1","0","-0.33","-3.61","-4.90","167.2","100","0","3","0.39","0","6644","0","0","20.19","16.50","34.29","32.17","450.24","445.08","389.38","387.15","26.00","26.41","26.16","26.29","77.31","78.82","82.12","82.59","46.50","46.35","47.86","47.93","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","2","2","1188","2","-0","6","0"
"0.030","1","0","-0.33","-3.61","-4.90","167.2","100","0","3","0.39","0","6644","0","0","19.93","16.42","34.11","32.07","450.24","445.08","389.38","387.15","26.00","26.41","26.16","26.29","77.31","78.82","82.12","82.59","46.48","46.35","47.86","47.93","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","2","2","1188","2","-0","6","0"
"0.035","2","0","-0.30","-3.37","-4.90","167.2","100","0","3","0.42","0","6644","0","0","19.75","16.37","34.04","31.96","449.52","444.37","388.93","386.70","26.00","26.41","26.16","26.29","77.31","78.83","82.12","82.59","46.50","46.37","47.86","47.95","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.30","-3.37","-4.59","167.4","100","0","3","0.42","0","6665","0","0","19.63","16.35","34.03","31.91","449.52","444.37","388.93","386.70","26.00","26.41","26.16","26.29","77.31","78.83","82.12","82.59","46.53","46.39","47.86","47.91","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.30","-3.37","-4.59","167.4","100","0","3","0.42","0","6665","0","0","19.57","16.35","34.03","31.93","449.52","444.37","388.93","386.70","26.00","26.41","26.16","26.29","77.31","78.83","82.12","82.59","46.55","46.41","47.83","47.87","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.30","-3.37","-4.59","167.4","100","0","3","0.42","0","6665","0","0","19.54","16.37","34.10","32.03","449.52","444.37","388.93","386.70","26.00","26.41","26.16","26.29","77.31","78.83","82.12","82.59","46.57","46.44","47.77","47.81","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
