"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","03.10.2025",,,"Origin Time","688.593","s"
"Log Time","13:05:15",,,"Start Time","688.595","s"
"Sample Rate","200.000","Hz",,"End Time","828.005","s"
"Duration","139.410","s",,"Start Distance","30163","m"
"Range","Lap 7",,,"End Distance","37108","m"
"Beacon Markers","          "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.48","-3.75","-2.70","165.5","100","0","3","0.39","0","6550","0","0","19.32","15.23","34.66","30.38","447.61","447.61","398.46","398.46","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.99","45.93","47.24","47.34","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","2","1","1185","-0","1","6","0"
"0.005","0","0","-0.48","-3.75","-2.70","165.5","100","0","3","0.39","0","6550","0","0","19.52","15.66","34.58","30.29","447.61","447.61","398.46","398.46","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.98","45.92","47.49","47.61","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","2","1","1185","-0","1","6","0"
"0.010","0","0","-0.48","-3.75","-2.70","165.5","100","0","3","0.39","0","6550","0","0","19.77","15.75","34.54","30.20","447.61","447.61","398.46","398.46","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.08","45.99","47.13","47.28","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","2","1","1185","-0","1","6","0"
"0.015","1","0","-0.48","-3.75","-2.56","165.8","100","0","3","0.39","0","6586","0","0","19.86","15.63","34.43","30.03","447.61","447.61","398.46","398.46","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.07","45.96","47.29","47.49","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","2","1","1185","-0","1","6","0"
"0.020","1","0","-0.48","-3.75","-2.56","165.8","100","0","3","0.39","0","6586","0","0","19.93","15.50","34.41","29.89","447.61","447.61","398.46","398.46","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.09","45.96","47.41","47.60","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.48","-3.75","-2.56","165.8","100","0","3","0.39","0","6586","0","0","19.86","15.34","34.39","29.83","447.61","447.61","398.46","398.46","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.10","45.97","47.24","47.42","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.48","-3.75","-2.56","166.0","100","0","3","0.39","0","6598","0","0","19.84","15.19","34.40","29.79","447.61","447.61","398.46","398.46","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.11","45.97","47.34","47.51","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.45","-2.22","-2.56","166.0","100","0","3","0.43","0","6598","0","0","19.82","15.11","34.41","29.82","447.05","447.05","398.09","398.09","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.14","46.00","47.35","47.49","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.45","-2.22","-2.56","166.0","100","0","3","0.43","0","6598","0","0","19.78","15.09","34.42","29.90","447.05","447.05","398.09","398.09","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.15","46.02","47.29","47.38","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.45","-2.22","-2.56","166.0","100","0","3","0.43","0","6598","0","0","19.71","15.08","34.43","30.14","447.05","447.05","398.09","398.09","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.16","46.04","47.34","47.39","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.45","-2.22","-2.61","166.2","100","0","3","0.43","0","6586","0","0","19.58","15.08","34.46","30.53","447.05","447.05","398.09","398.09","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.18","46.06","47.32","47.31","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
