"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","06.10.2025",,,"Origin Time","1855.340","s"
"Log Time","20:30:39",,,"Start Time","1855.340","s"
"Sample Rate","200.000","Hz",,"End Time","1995.000","s"
"Duration","139.660","s",,"Start Distance","84048","m"
"Range","Lap 20",,,"End Distance","91010","m"
"Beacon Markers","                  00.000  "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","0.96","14.16","17.55","165.2","100","0","3","0.38","0","6568","0","0","12.75","19.88","27.86","34.93","481.76","477.26","409.50","405.28","27.17","27.24","27.37","27.29","85.32","86.05","89.51","88.69","45.58","46.08","47.33","47.12","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","-1","2","1185","2","1","6","138"
"0.005","0","0","0.96","14.16","16.38","165.5","100","0","3","0.38","0","6558","0","0","12.80","19.99","27.99","35.11","481.76","477.26","409.50","405.28","27.17","27.24","27.37","27.29","85.32","86.05","89.51","88.69","45.60","46.10","47.38","47.15","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","-1","2","1185","2","1","6","138"
"0.010","0","0","0.96","14.16","16.38","165.5","100","0","3","0.38","0","6558","0","0","12.95","20.17","28.05","35.30","481.76","477.26","409.50","405.28","27.17","27.24","27.37","27.29","85.32","86.05","89.51","88.69","45.63","46.15","47.44","47.19","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","-1","2","1185","2","1","6","0"
"0.015","1","0","0.96","14.16","16.38","165.5","100","0","3","0.38","0","6558","0","0","13.11","20.30","28.01","35.48","481.76","477.26","409.50","405.28","27.17","27.24","27.37","27.29","85.32","86.05","89.51","88.69","45.67","46.16","47.47","47.21","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","-1","2","1185","2","1","6","0"
"0.020","1","0","0.96","14.16","15.30","165.7","100","0","3","0.38","0","6571","0","0","13.23","20.31","27.95","35.66","481.76","477.26","409.50","405.28","27.17","27.24","27.37","27.29","85.32","86.05","89.51","88.69","45.70","46.17","47.50","47.23","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","-1","2","1185","2","1","6","0"
"0.025","1","0","0.96","14.16","15.30","165.7","100","0","3","0.38","0","6571","0","0","13.34","20.30","27.95","35.93","481.76","477.26","409.50","405.28","27.17","27.24","27.37","27.29","85.32","86.05","89.51","88.69","45.74","46.20","47.53","47.25","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","-1","2","1185","2","1","6","0"
"0.030","1","0","0.96","14.16","15.30","165.7","100","0","3","0.38","0","6571","0","0","13.17","20.16","27.81","36.01","481.76","477.26","409.50","405.28","27.17","27.24","27.37","27.29","85.32","86.05","89.51","88.69","45.77","46.19","47.39","47.14","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","-1","2","1185","2","1","6","0"
"0.035","2","0","0.90","12.20","15.30","165.7","100","0","3","0.41","0","6571","0","0","13.06","20.15","27.72","35.98","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.74","46.19","47.69","47.45","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.040","2","0","0.90","12.20","14.09","165.9","100","0","3","0.41","0","6589","0","0","12.91","20.18","27.75","35.95","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.77","46.23","47.58","47.33","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.045","2","0","0.90","12.20","14.09","165.9","100","0","3","0.41","0","6589","0","0","12.69","20.18","27.65","35.88","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.77","46.23","47.58","47.34","0","0","0","0","0","0","0","0","0","0","0","0","8","5","3","2","4","1188","3","3","7","0"
"0.050","2","0","0.90","12.20","14.09","165.9","100","0","3","0.41","0","6589","0","0","12.55","20.17","27.66","35.84","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.78","46.25","47.66","47.42","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
