"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","18.08.2025",,,"Origin Time","1083.750","s"
"Log Time","20:31:54",,,"Start Time","1083.750","s"
"Sample Rate","200.000","Hz",,"End Time","1223.490","s"
"Duration","139.740","s",,"Start Distance","27421","m"
"Range","Lap 5",,,"End Distance","34364","m"
"Beacon Markers","   00.000           "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.03","-0.41","-0.14","166.2","100","0","3","0.40","0","6577","0","0","16.92","16.27","32.29","31.65","460.43","455.34","395.58","392.89","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.00","46.18","46.18","47.44","47.43","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1170","3","3","7","0"
"0.005","0","0","-0.03","-0.41","-0.14","166.2","100","0","3","0.40","0","6577","0","0","17.10","16.20","32.38","31.88","460.43","455.34","395.58","392.89","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.00","46.23","46.21","47.47","47.45","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1170","3","3","7","0"
"0.010","0","0","-0.03","-0.41","0.09","166.5","100","0","3","0.40","0","6591","0","0","17.11","16.08","32.38","32.13","460.43","455.34","395.58","392.89","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.00","46.25","46.20","47.50","47.45","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1170","3","3","7","0"
"0.015","1","0","-0.03","-0.41","0.09","166.5","100","0","3","0.40","0","6591","0","0","16.94","15.82","32.32","32.41","460.43","455.34","395.58","392.89","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.00","46.25","46.22","47.51","47.47","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1170","3","3","7","0"
"0.020","1","0","-0.03","-0.41","0.09","166.5","100","0","3","0.40","0","6591","0","0","16.74","15.68","32.29","32.57","460.43","455.34","395.58","392.89","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.00","46.24","46.19","47.52","47.53","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1170","3","3","7","0"
"0.025","1","0","-0.03","0.05","0.27","166.7","100","0","3","0.42","0","6610","0","0","16.54","15.62","32.31","32.65","459.69","454.62","395.12","392.44","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.01","46.23","46.22","47.53","47.54","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.030","1","0","-0.03","0.05","0.27","166.7","100","0","3","0.42","0","6610","0","0","16.33","15.59","32.44","32.69","459.69","454.62","395.12","392.44","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.01","46.24","46.24","47.54","47.54","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.035","2","0","-0.03","0.05","0.27","166.7","100","0","3","0.42","0","6610","0","0","16.15","15.55","32.53","32.75","459.69","454.62","395.12","392.44","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.01","46.25","46.27","47.57","47.55","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.040","2","0","-0.03","0.05","0.27","166.7","100","0","3","0.42","0","6610","0","0","16.01","15.46","32.61","32.87","459.69","454.62","395.12","392.44","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.01","46.27","46.28","47.57","47.55","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.045","2","0","-0.03","0.05","0.45","167.0","100","0","3","0.42","0","6617","0","0","15.91","15.38","32.70","33.07","459.69","454.62","395.12","392.44","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.01","46.28","46.30","47.53","47.49","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.050","2","0","-0.03","0.05","0.45","167.0","100","0","3","0.42","0","6617","0","0","15.83","15.26","32.89","33.39","459.69","454.62","395.12","392.44","26.33","26.66","26.20","26.72","78.68","79.26","83.57","83.01","46.30","46.31","47.52","47.50","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
