"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","06.10.2025",,,"Origin Time","1363.200","s"
"Log Time","20:30:39",,,"Start Time","1363.200","s"
"Sample Rate","200.000","Hz",,"End Time","1502.940","s"
"Duration","139.740","s",,"Start Distance","59870","m"
"Range","Lap 16",,,"End Distance","66826","m"
"Beacon Markers","              00.000      "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","0.12","1.48","3.65","166.0","100","0","3","0.39","0","6580","0","0","15.56","16.61","32.76","32.82","477.51","473.12","407.18","404.40","27.19","27.22","27.27","27.30","85.52","85.86","88.44","88.79","46.01","46.04","47.36","47.37","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1188","0","2","5","138"
"0.005","0","0","0.12","1.48","3.65","166.0","100","0","3","0.39","0","6580","0","0","15.70","16.79","32.82","32.80","477.51","473.12","407.18","404.40","27.19","27.22","27.27","27.30","85.52","85.86","88.44","88.79","46.05","46.08","47.39","47.40","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1188","0","2","5","138"
"0.010","0","0","0.12","1.48","3.73","166.2","100","0","3","0.39","0","6581","0","0","15.86","17.07","32.84","32.78","477.51","473.12","407.18","404.40","27.19","27.22","27.27","27.30","85.52","85.86","88.44","88.79","46.09","46.13","47.42","47.41","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1188","0","2","5","138"
"0.015","1","0","0.12","1.48","3.73","166.2","100","0","3","0.39","0","6581","0","0","15.94","17.26","32.83","32.78","477.51","473.12","407.18","404.40","27.19","27.22","27.27","27.30","85.52","85.86","88.44","88.79","46.11","46.19","47.44","47.41","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1188","0","2","5","0"
"0.020","1","0","0.12","1.48","3.73","166.2","100","0","3","0.39","0","6581","0","0","15.86","17.13","32.82","32.83","477.51","473.12","407.18","404.40","27.19","27.22","27.27","27.30","85.52","85.86","88.44","88.79","46.13","46.21","47.45","47.42","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1188","0","2","5","0"
"0.025","1","0","0.12","1.48","3.78","166.5","100","0","3","0.39","0","6587","0","0","15.76","16.85","32.73","32.89","477.51","473.12","407.18","404.40","27.19","27.22","27.27","27.30","85.52","85.86","88.44","88.79","46.13","46.21","47.60","47.57","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1188","0","2","5","0"
"0.030","1","0","0.10","2.00","3.78","166.5","100","0","3","0.34","0","6587","0","0","15.62","16.56","32.66","32.87","447.46","447.46","398.36","398.36","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.13","46.18","47.32","47.28","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","0.10","2.00","3.78","166.5","100","0","3","0.34","0","6587","0","0","15.56","16.33","32.52","32.86","447.46","447.46","398.36","398.36","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.14","46.19","47.73","47.68","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","0.10","2.00","3.78","166.5","100","0","3","0.34","0","6587","0","0","15.56","16.11","32.33","32.81","447.46","447.46","398.36","398.36","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.16","46.20","47.69","47.65","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","0.10","2.00","3.73","166.7","100","0","3","0.34","0","6610","0","0","15.58","15.92","32.13","32.74","447.46","447.46","398.36","398.36","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.18","46.21","47.62","47.59","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","0.10","2.00","3.73","166.7","100","0","3","0.34","0","6610","0","0","15.60","15.82","31.96","32.68","447.46","447.46","398.36","398.36","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.21","46.24","47.73","47.71","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","2","5","1188","3","3","7","0"
"0.055","3","0","0.10","2.00","3.73","166.7","100","0","3","0.34","0","6610","0","0","15.62","15.77","31.84","32.65","447.46","447.46","398.36","398.36","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.23","46.27","47.66","47.61","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
