"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","21.08.2025",,,"Origin Time","1081.460","s"
"Log Time","00:16:20",,,"Start Time","1081.460","s"
"Sample Rate","200.000","Hz",,"End Time","1221.250","s"
"Duration","139.790","s",,"Start Distance","48638","m"
"Range","Lap 9",,,"End Distance","55582","m"
"Beacon Markers","       00.000     "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.38","-2.85","-5.26","167.0","100","0","3","0.38","0","6618","0","0","18.22","15.02","35.32","32.50","573.85","570.38","517.42","515.90","26.76","27.37","26.99","27.08","83.79","84.01","88.80","88.68","46.36","46.27","47.52","47.83","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","2","1186","1","0","4","140"
"0.005","0","0","-0.38","-2.85","-5.26","167.0","100","0","3","0.38","0","6618","0","0","18.47","15.41","35.27","32.43","573.85","570.38","517.42","515.90","26.76","27.37","26.99","27.08","83.79","84.01","88.80","88.68","46.40","46.30","47.58","47.90","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","2","1186","1","0","4","140"
"0.010","0","0","-0.38","-2.85","-5.26","167.0","100","0","3","0.38","0","6618","0","0","18.66","15.61","35.19","32.30","573.85","570.38","517.42","515.90","26.76","27.37","26.99","27.08","83.79","84.01","88.80","88.68","46.43","46.34","47.62","48.01","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","2","1186","1","0","4","0"
"0.015","1","0","-0.32","-3.62","-5.26","167.0","100","0","3","0.39","0","6618","0","0","18.74","15.66","35.11","32.13","573.25","569.78","517.01","515.49","26.76","27.37","26.99","27.08","83.79","84.01","88.79","88.68","46.46","46.35","47.66","48.07","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","2","1186","1","0","4","0"
"0.020","1","0","-0.32","-3.62","-4.95","167.2","100","0","3","0.39","0","6648","0","0","18.73","15.64","35.02","31.95","573.25","569.78","517.01","515.49","26.76","27.37","26.99","27.08","83.79","84.01","88.79","88.68","46.46","46.35","47.69","48.10","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","2","1186","1","0","4","0"
"0.025","1","0","-0.32","-3.62","-4.95","167.2","100","0","3","0.39","0","6648","0","0","18.72","15.62","34.91","31.77","573.25","569.78","517.01","515.49","26.76","27.37","26.99","27.08","83.79","84.01","88.79","88.68","46.48","46.37","47.72","48.11","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","2","1186","1","0","4","0"
"0.030","1","0","-0.32","-3.62","-4.95","167.2","100","0","3","0.39","0","6648","0","0","18.71","15.62","34.80","31.61","573.25","569.78","517.01","515.49","26.76","27.37","26.99","27.08","83.79","84.01","88.79","88.68","46.50","46.38","47.75","48.12","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","2","1186","1","0","4","0"
"0.035","2","0","-0.32","-3.62","-4.77","167.4","100","0","3","0.39","0","6671","0","0","18.71","15.62","34.69","31.50","573.25","569.78","517.01","515.49","26.76","27.37","26.99","27.08","83.79","84.01","88.79","88.68","46.52","46.40","47.76","48.15","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1188","3","3","7","0"
"0.040","2","0","-0.32","-3.62","-4.77","167.4","100","0","3","0.39","0","6671","0","0","18.80","15.60","34.64","31.40","573.25","569.78","517.01","515.49","26.76","27.37","26.99","27.08","83.79","84.01","88.79","88.68","46.55","46.42","47.74","48.14","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1188","3","3","7","0"
"0.045","2","0","-0.32","-3.62","-4.77","167.4","100","0","3","0.39","0","6671","0","0","18.92","15.60","34.66","31.43","573.25","569.78","517.01","515.49","26.76","27.37","26.99","27.08","83.79","84.01","88.79","88.68","46.58","46.44","47.71","48.03","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1188","3","3","7","0"
"0.050","2","0","-0.32","-3.62","-4.54","167.7","100","0","3","0.39","0","6668","0","0","19.00","15.62","34.70","31.61","573.25","569.78","517.01","515.49","26.76","27.37","26.99","27.08","83.79","84.01","88.79","88.68","46.61","46.47","47.69","47.91","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
