"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","17.08.2025",,,"Origin Time","1244.570","s"
"Log Time","23:53:04",,,"Start Time","1244.570","s"
"Sample Rate","200.000","Hz",,"End Time","1384.390","s"
"Duration","139.820","s",,"Start Distance","44456","m"
"Range","Lap 11",,,"End Distance","51406","m"
"Beacon Markers","         00.000        "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.28","-2.51","-3.70","165.2","100","0","3","0.40","0","6537","0","0","17.34","14.40","32.42","30.11","665.99","659.69","562.42","558.93","26.95","27.05","26.72","27.02","89.26","88.19","90.01","90.05","45.92","45.84","47.18","47.25","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","138"
"0.005","0","0","-0.25","-2.85","-3.70","165.2","100","0","3","0.37","0","6537","0","0","17.84","14.81","32.40","30.11","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.97","45.86","47.24","47.29","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.010","0","0","-0.25","-2.85","-3.43","165.4","100","0","3","0.37","0","6563","0","0","18.19","15.04","32.29","30.09","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.01","45.90","47.31","47.37","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.015","1","0","-0.25","-2.85","-3.43","165.4","100","0","3","0.37","0","6563","0","0","18.20","15.11","32.09","29.93","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.02","45.91","47.47","47.54","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.020","1","0","-0.25","-2.85","-3.43","165.4","100","0","3","0.37","0","6563","0","0","18.04","15.02","31.86","29.69","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.01","45.91","47.21","47.28","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","-1","4","1187","3","-0","4","0"
"0.025","1","0","-0.25","-2.85","-3.25","165.6","100","0","3","0.37","0","6593","0","0","17.91","14.96","31.68","29.48","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.99","45.92","47.49","47.57","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.030","1","0","-0.25","-2.85","-3.25","165.6","100","0","3","0.37","0","6593","0","0","17.92","14.93","31.57","29.29","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.03","45.94","47.42","47.51","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.25","-2.85","-3.25","165.6","100","0","3","0.37","0","6593","0","0","17.95","14.90","31.45","29.14","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.06","45.96","47.36","47.43","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.25","-2.85","-3.07","165.9","100","0","3","0.37","0","6603","0","0","17.98","14.88","31.36","29.11","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.09","45.98","47.43","47.49","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.25","-2.85","-3.07","165.9","100","0","3","0.37","0","6603","0","0","18.00","14.92","31.37","29.20","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.11","46.00","47.34","47.40","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.25","-2.85","-3.07","165.9","100","0","3","0.37","0","6603","0","0","18.05","14.97","31.49","29.36","448.53","448.53","399.03","399.03","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","46.13","46.03","47.28","47.32","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
