"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","17.08.2025",,,"Origin Time","1384.390","s"
"Log Time","23:53:04",,,"Start Time","1384.390","s"
"Sample Rate","200.000","Hz",,"End Time","1524.230","s"
"Duration","139.840","s",,"Start Distance","51406","m"
"Range","Lap 12",,,"End Distance","58348","m"
"Beacon Markers","          00.000       "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.54","-6.46","-9.56","163.2","100","0","3","0.39","0","6460","0","0","18.46","13.28","33.38","28.46","450.00","450.00","400.00","400.00","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.42","45.22","46.60","46.73","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1187","2","1","5","0"
"0.005","0","0","-0.54","-6.46","-9.56","163.4","100","0","3","0.39","0","6483","0","0","18.80","13.60","33.36","28.44","450.00","450.00","400.00","400.00","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.45","45.25","46.67","46.81","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1187","2","1","5","0"
"0.010","0","0","-0.54","-6.46","-9.56","163.4","100","0","3","0.39","0","6483","0","0","18.98","13.74","33.27","28.31","450.00","450.00","400.00","400.00","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.44","45.23","46.95","47.10","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1187","2","1","5","0"
"0.015","1","0","-0.54","-6.46","-9.56","163.4","100","0","3","0.39","0","6483","0","0","19.08","13.80","33.14","28.17","450.00","450.00","400.00","400.00","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.53","45.30","46.61","46.76","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1187","2","1","5","0"
"0.020","1","0","-0.54","-6.46","-9.38","163.6","100","0","3","0.39","0","6514","0","0","19.01","13.74","32.90","27.91","450.00","450.00","400.00","400.00","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.49","45.28","46.76","46.92","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1187","2","1","5","0"
"0.025","1","0","-0.54","-6.46","-9.38","163.6","100","0","3","0.39","0","6514","0","0","19.01","13.73","32.77","27.73","450.00","450.00","400.00","400.00","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.53","45.30","46.91","47.06","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.54","-6.46","-9.38","163.6","100","0","3","0.39","0","6514","0","0","19.00","13.69","32.62","27.56","450.00","450.00","400.00","400.00","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.55","45.31","46.77","46.92","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.54","-6.46","-9.16","163.9","100","0","3","0.39","0","6530","0","0","19.02","13.64","32.48","27.41","450.00","450.00","400.00","400.00","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.57","45.32","46.86","47.01","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.040","2","0","-0.58","-6.60","-9.16","163.9","100","0","3","0.42","0","6530","0","0","19.06","13.61","32.39","27.31","448.28","448.28","398.86","398.86","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.60","45.35","46.84","47.00","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.58","-6.60","-9.16","163.9","100","0","3","0.42","0","6530","0","0","19.12","13.59","32.42","27.34","448.28","448.28","398.86","398.86","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.62","45.37","46.73","46.87","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.58","-6.60","-9.16","163.9","100","0","3","0.42","0","6530","0","0","19.17","13.59","32.54","27.52","448.28","448.28","398.86","398.86","26.06","26.26","25.76","26.06","80.00","80.00","80.00","80.00","45.66","45.39","46.72","46.84","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
