"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","03.10.2025",,,"Origin Time","360.955","s"
"Log Time","13:05:15",,,"Start Time","360.955","s"
"Sample Rate","200.000","Hz",,"End Time","500.870","s"
"Duration","139.915","s",,"Start Distance","14408","m"
"Range","Lap 4",,,"End Distance","21359","m"
"Beacon Markers","  00.000        "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.28","-8.06","-18.36","165.3","100","0","3","0.35","0","6535","0","0","18.07","17.01","33.44","32.16","475.59","471.44","402.01","399.45","27.11","27.19","27.20","27.26","84.67","85.55","87.74","88.35","46.06","45.78","47.17","47.26","0","0","0","0","0","0","0","0","0","0","0","0","5","2","-0","-0","4","1188","1","3","6","0"
"0.005","0","0","-0.28","-8.06","-19.71","165.5","100","0","3","0.35","0","6573","0","0","18.45","17.11","33.58","32.06","475.59","471.44","402.01","399.45","27.11","27.19","27.20","27.26","84.67","85.55","87.74","88.35","46.10","45.81","47.18","47.29","0","0","0","0","0","0","0","0","0","0","0","0","5","2","-0","-0","4","1188","1","3","6","0"
"0.010","0","0","-0.28","-8.06","-19.71","165.5","100","0","3","0.35","0","6573","0","0","18.51","17.06","33.68","31.94","475.59","471.44","402.01","399.45","27.11","27.19","27.20","27.26","84.67","85.55","87.74","88.35","46.10","45.81","47.31","47.40","0","0","0","0","0","0","0","0","0","0","0","0","5","2","-0","-0","4","1188","1","3","6","0"
"0.015","1","0","-0.28","-8.06","-19.71","165.5","100","0","3","0.35","0","6573","0","0","18.43","16.88","33.75","31.83","475.59","471.44","402.01","399.45","27.11","27.19","27.20","27.26","84.67","85.55","87.74","88.35","46.10","45.84","47.00","47.09","0","0","0","0","0","0","0","0","0","0","0","0","5","2","-0","-0","4","1188","1","3","6","0"
"0.020","1","0","-0.43","-11.26","-19.71","165.5","100","0","3","0.44","0","6573","0","0","18.35","16.66","33.80","31.76","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.12","45.81","47.36","47.46","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
"0.025","1","0","-0.43","-11.26","-20.92","165.7","100","0","3","0.44","0","6590","0","0","18.31","16.44","33.86","31.67","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.15","45.82","47.29","47.41","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
"0.030","1","0","-0.43","-11.26","-20.92","165.7","100","0","3","0.44","0","6590","0","0","18.15","16.16","33.90","31.56","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.14","45.83","47.23","47.37","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.43","-11.26","-20.92","165.7","100","0","3","0.44","0","6590","0","0","18.08","15.87","33.99","31.44","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.15","45.83","47.36","47.51","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.43","-11.26","-22.23","166.0","100","0","3","0.44","0","6585","0","0","18.11","15.60","34.12","31.37","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.18","45.82","47.28","47.39","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.43","-11.26","-22.23","166.0","100","0","3","0.44","0","6585","0","0","18.09","15.38","34.29","31.39","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.21","45.83","47.21","47.31","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.43","-11.26","-22.23","166.0","100","0","3","0.44","0","6585","0","0","18.08","15.18","34.59","31.59","447.33","447.33","398.27","398.27","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","46.22","45.84","47.20","47.33","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1188","3","3","7","0"
