"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","03.10.2025",,,"Origin Time","1034.570","s"
"Log Time","13:05:15",,,"Start Time","1034.570","s"
"Sample Rate","200.000","Hz",,"End Time","1174.540","s"
"Duration","139.970","s",,"Start Distance","45857","m"
"Range","Lap 10",,,"End Distance","52804","m"
"Beacon Markers","        00.000  "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.23","-1.83","-3.51","164.1","100","0","3","0.37","0","6486","0","0","18.62","16.08","33.62","32.05","489.70","485.20","411.69","409.11","27.04","27.11","27.18","27.19","83.97","84.67","87.55","87.62","45.60","45.56","46.81","46.88","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1188","2","2","6","140"
"0.005","0","0","-0.21","-2.34","-3.51","164.1","100","0","3","0.36","0","6486","0","0","19.27","16.69","33.55","31.96","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.67","45.59","46.84","46.89","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1188","2","2","6","0"
"0.010","0","0","-0.21","-2.34","-3.46","164.3","100","0","3","0.36","0","6516","0","0","19.85","17.03","33.46","31.91","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.72","45.62","46.89","46.92","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1188","2","2","6","0"
"0.015","1","0","-0.21","-2.34","-3.46","164.3","100","0","3","0.36","0","6516","0","0","19.96","17.07","33.31","31.83","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.72","45.63","47.04","47.08","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1188","2","2","6","0"
"0.020","1","0","-0.21","-2.34","-3.46","164.3","100","0","3","0.36","0","6516","0","0","19.83","16.92","33.11","31.73","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.72","45.63","46.80","46.84","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","4","1188","2","2","6","0"
"0.025","1","0","-0.21","-2.34","-3.46","164.5","100","0","3","0.36","0","6538","0","0","19.66","16.76","32.93","31.58","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.71","45.62","47.10","47.14","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.030","1","0","-0.21","-2.34","-3.46","164.5","100","0","3","0.36","0","6538","0","0","19.50","16.59","32.84","31.50","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.72","45.63","47.02","47.08","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.035","2","0","-0.21","-2.34","-3.46","164.5","100","0","3","0.36","0","6538","0","0","19.29","16.51","32.79","31.42","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.72","45.65","46.96","47.01","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.040","2","0","-0.21","-2.34","-3.51","164.8","100","0","3","0.36","0","6541","0","0","19.12","16.45","32.79","31.42","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.75","45.67","47.04","47.06","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","5","1188","3","3","7","0"
"0.045","2","0","-0.21","-2.34","-3.51","164.8","100","0","3","0.36","0","6541","0","0","19.04","16.42","32.83","31.46","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.77","45.69","46.94","46.97","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.21","-2.34","-3.51","164.8","100","0","3","0.36","0","6541","0","0","19.00","16.41","32.94","31.66","447.64","447.64","398.47","398.47","26.66","26.66","26.46","26.46","80.00","80.00","80.00","80.00","45.79","45.71","46.88","46.89","0","0","0","0","0","0","0","0","0","0","0","0","6","5","3","2","5","1188","3","3","7","0"
