"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","18.08.2025",,,"Origin Time","1701.560","s"
"Log Time","20:31:54",,,"Start Time","1701.560","s"
"Sample Rate","200.000","Hz",,"End Time","1841.540","s"
"Duration","139.980","s",,"Start Distance","51008","m"
"Range","Lap 8",,,"End Distance","57958","m"
"Beacon Markers","      00.000        "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.34","-2.45","-3.20","166.1","100","0","3","0.39","0","6579","0","0","17.66","14.39","34.42","31.70","487.73","481.12","419.67","416.38","26.76","26.93","26.53","26.57","81.05","81.75","84.83","84.50","46.12","46.03","47.38","47.44","0","0","0","0","0","0","0","0","0","0","0","0","4","5","-0","0","4","1167","2","3","5","226"
"0.005","0","0","-0.34","-2.45","-3.20","166.1","100","0","3","0.39","0","6579","0","0","18.06","14.76","34.34","31.65","487.73","481.12","419.67","416.38","26.76","26.93","26.53","26.57","81.05","81.75","84.83","84.50","46.16","46.05","47.44","47.50","0","0","0","0","0","0","0","0","0","0","0","0","4","5","-0","0","4","1167","2","3","5","226"
"0.010","0","0","-0.34","-2.45","-3.20","166.1","100","0","3","0.39","0","6579","0","0","18.27","14.98","34.25","31.56","487.73","481.12","419.67","416.38","26.76","26.93","26.53","26.57","81.05","81.75","84.83","84.50","46.19","46.09","47.50","47.56","0","0","0","0","0","0","0","0","0","0","0","0","4","5","-0","0","4","1167","2","3","5","226"
"0.015","1","0","-0.26","-2.58","-3.20","166.1","100","0","3","0.41","0","6579","0","0","18.25","15.03","34.13","31.43","486.95","480.35","419.18","415.90","26.76","26.93","26.53","26.57","81.05","81.76","84.83","84.50","46.21","46.11","47.56","47.63","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1170","3","3","7","0"
"0.020","1","0","-0.26","-2.58","-2.71","166.3","100","0","3","0.41","0","6608","0","0","18.11","14.97","33.97","31.30","486.95","480.35","419.18","415.90","26.76","26.93","26.53","26.57","81.05","81.76","84.83","84.50","46.19","46.10","47.58","47.66","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1170","3","3","7","0"
"0.025","1","0","-0.26","-2.58","-2.71","166.3","100","0","3","0.41","0","6608","0","0","18.06","14.94","33.84","31.12","486.95","480.35","419.18","415.90","26.76","26.93","26.53","26.57","81.05","81.76","84.83","84.50","46.19","46.12","47.59","47.68","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1170","3","3","7","0"
"0.030","1","0","-0.26","-2.58","-2.71","166.3","100","0","3","0.41","0","6608","0","0","18.12","14.93","33.76","30.96","486.95","480.35","419.18","415.90","26.76","26.93","26.53","26.57","81.05","81.76","84.83","84.50","46.23","46.14","47.62","47.71","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.035","2","0","-0.26","-2.58","-2.30","166.6","100","0","3","0.41","0","6631","0","0","18.21","14.93","33.66","30.84","486.95","480.35","419.18","415.90","26.76","26.93","26.53","26.57","81.05","81.76","84.83","84.50","46.26","46.16","47.65","47.72","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.040","2","0","-0.26","-2.58","-2.30","166.6","100","0","3","0.41","0","6631","0","0","18.27","14.93","33.57","30.81","486.95","480.35","419.18","415.90","26.76","26.93","26.53","26.57","81.05","81.76","84.83","84.50","46.28","46.18","47.62","47.69","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.045","2","0","-0.26","-2.58","-2.30","166.6","100","0","3","0.41","0","6631","0","0","18.37","14.96","33.58","30.86","486.95","480.35","419.18","415.90","26.76","26.93","26.53","26.57","81.05","81.76","84.83","84.50","46.31","46.20","47.57","47.64","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.050","2","0","-0.26","-2.58","-2.03","166.8","100","0","3","0.41","0","6625","0","0","18.47","15.00","33.64","31.00","486.95","480.35","419.18","415.90","26.76","26.93","26.53","26.57","81.05","81.76","84.83","84.50","46.33","46.24","47.50","47.57","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
