"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","18.08.2025",,,"Origin Time","1984.790","s"
"Log Time","20:31:54",,,"Start Time","1984.790","s"
"Sample Rate","200.000","Hz",,"End Time","2124.810","s"
"Duration","140.020","s",,"Start Distance","64900","m"
"Range","Lap 10",,,"End Distance","71844","m"
"Beacon Markers","        00.000      "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.08","-0.61","-1.22","164.1","100","0","3","0.41","0","6499","0","0","16.67","16.01","32.56","32.16","457.38","452.80","409.35","406.20","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.56","45.60","46.95","46.96","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.005","0","0","-0.08","-0.61","-1.17","164.3","100","0","3","0.41","0","6522","0","0","16.86","16.66","32.50","32.09","457.38","452.80","409.35","406.20","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.60","45.66","46.99","47.01","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.010","0","0","-0.08","-0.61","-1.17","164.3","100","0","3","0.41","0","6522","0","0","17.06","16.91","32.45","32.01","457.38","452.80","409.35","406.20","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.63","45.67","47.04","47.08","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.015","1","0","-0.08","-0.61","-1.17","164.3","100","0","3","0.41","0","6522","0","0","17.21","16.82","32.39","31.86","457.38","452.80","409.35","406.20","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.66","45.67","47.08","47.15","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.020","1","0","-0.08","-0.61","-1.17","164.5","100","0","3","0.41","0","6549","0","0","17.29","16.62","32.34","31.64","457.38","452.80","409.35","406.20","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.69","45.67","47.10","47.20","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1170","3","3","7","0"
"0.025","1","0","-0.08","-0.61","-1.17","164.5","100","0","3","0.41","0","6549","0","0","17.30","16.38","32.34","31.43","457.38","452.80","409.35","406.20","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.71","45.67","47.08","47.17","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1171","3","3","7","0"
"0.030","1","0","-0.08","-0.61","-1.17","164.5","100","0","3","0.41","0","6549","0","0","17.30","16.13","32.34","31.34","457.38","452.80","409.35","406.20","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.73","45.68","47.05","47.12","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1171","3","3","7","0"
"0.035","2","0","-0.08","-0.61","-1.26","164.8","100","0","3","0.41","0","6560","0","0","17.25","15.89","32.37","31.31","457.38","452.80","409.35","406.20","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.74","45.69","47.06","47.12","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1171","3","3","7","0"
"0.040","2","0","-0.06","-0.43","-1.26","164.8","100","0","3","0.43","0","6560","0","0","17.20","15.72","32.40","31.31","456.66","452.08","408.88","405.73","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.75","45.70","47.06","47.09","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.045","2","0","-0.06","-0.43","-1.26","164.8","100","0","3","0.43","0","6560","0","0","17.12","15.62","32.44","31.46","456.66","452.08","408.88","405.73","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.77","45.72","47.04","47.02","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.050","2","0","-0.06","-0.43","-1.26","164.8","100","0","3","0.43","0","6560","0","0","17.03","15.58","32.53","31.76","456.66","452.08","408.88","405.73","26.90","27.07","26.86","26.94","82.44","83.13","88.29","88.27","45.79","45.75","47.05","46.99","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
