"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","21.08.2025",,,"Origin Time","801.154","s"
"Log Time","00:16:20",,,"Start Time","801.155","s"
"Sample Rate","200.000","Hz",,"End Time","941.750","s"
"Duration","140.595","s",,"Start Distance","34748","m"
"Range","Lap 7",,,"End Distance","41694","m"
"Beacon Markers","            "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.20","-2.81","-3.87","164.8","100","0","3","0.37","0","6527","0","0","17.89","15.93","34.47","33.44","594.93","591.58","533.97","532.22","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.83","45.74","46.97","47.29","0","0","0","0","0","0","0","0","0","0","0","0","7","5","2","2","2","1185","1","-1","3","141"
"0.005","0","0","-0.20","-2.81","-3.55","165.1","100","0","3","0.37","0","6551","0","0","18.18","16.18","34.50","33.37","594.93","591.58","533.97","532.22","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.86","45.78","47.02","47.33","0","0","0","0","0","0","0","0","0","0","0","0","7","5","2","2","2","1185","1","-1","3","141"
"0.010","0","0","-0.20","-2.81","-3.55","165.1","100","0","3","0.37","0","6551","0","0","18.35","16.23","34.46","33.27","594.93","591.58","533.97","532.22","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.90","45.80","47.08","47.37","0","0","0","0","0","0","0","0","0","0","0","0","7","5","2","2","2","1185","1","-1","3","141"
"0.015","1","0","-0.20","-2.81","-3.55","165.1","100","0","3","0.37","0","6551","0","0","18.38","16.19","34.40","33.18","594.93","591.58","533.97","532.22","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.91","45.80","47.13","47.41","0","0","0","0","0","0","0","0","0","0","0","0","7","5","2","2","2","1185","1","-1","3","141"
"0.020","1","0","-0.21","-2.70","-3.55","165.1","100","0","3","0.42","0","6551","0","0","18.30","16.17","34.32","33.05","594.30","590.95","533.54","531.80","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.91","45.82","47.17","47.49","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.21","-2.70","-3.24","165.3","100","0","3","0.42","0","6580","0","0","18.24","16.14","34.24","32.87","594.30","590.95","533.54","531.80","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.93","45.84","47.21","47.47","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.21","-2.70","-3.24","165.3","100","0","3","0.42","0","6580","0","0","18.16","15.99","34.15","32.79","594.30","590.95","533.54","531.80","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.95","45.86","47.24","47.41","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.21","-2.70","-3.24","165.3","100","0","3","0.42","0","6580","0","0","18.09","15.80","34.05","32.82","594.30","590.95","533.54","531.80","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.96","45.85","47.25","47.41","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.040","2","0","-0.21","-2.70","-3.02","165.5","100","0","3","0.42","0","6590","0","0","18.03","15.70","33.98","32.87","594.30","590.95","533.54","531.80","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","45.98","45.87","47.25","47.39","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.045","2","0","-0.21","-2.70","-3.02","165.5","100","0","3","0.42","0","6590","0","0","17.99","15.67","33.96","32.97","594.30","590.95","533.54","531.80","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","46.00","45.91","47.20","47.34","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.050","2","0","-0.21","-2.70","-3.02","165.5","100","0","3","0.42","0","6590","0","0","17.94","15.62","34.01","33.18","594.30","590.95","533.54","531.80","26.96","27.46","27.20","27.23","84.36","84.91","89.95","89.85","46.02","45.93","47.15","47.28","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
