"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","21.08.2025",,,"Origin Time","660.490","s"
"Log Time","00:16:20",,,"Start Time","660.490","s"
"Sample Rate","200.000","Hz",,"End Time","801.150","s"
"Duration","140.660","s",,"Start Distance","27807","m"
"Range","Lap 6",,,"End Distance","34748","m"
"Beacon Markers","    00.000        "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.07","-0.97","-1.89","164.0","100","0","3","0.43","0","6491","0","0","17.60","16.81","33.87","33.18","629.20","623.96","555.42","552.93","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.60","45.55","46.86","46.91","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","140"
"0.005","0","0","-0.07","-0.97","-1.93","164.2","100","0","3","0.43","0","6519","0","0","18.07","17.24","33.84","33.10","629.20","623.96","555.42","552.93","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.63","45.61","46.89","46.94","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","0"
"0.010","0","0","-0.07","-0.97","-1.93","164.2","100","0","3","0.43","0","6519","0","0","18.21","17.31","33.84","33.03","629.20","623.96","555.42","552.93","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.64","45.63","46.89","46.95","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","0"
"0.015","1","0","-0.07","-0.97","-1.93","164.2","100","0","3","0.43","0","6519","0","0","18.20","17.20","33.84","32.96","629.20","623.96","555.42","552.93","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.65","45.62","46.93","46.99","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","3","1186","1","0","4","0"
"0.020","1","0","-0.07","-0.97","-2.03","164.4","100","0","3","0.43","0","6541","0","0","18.13","17.06","33.79","32.90","629.20","623.96","555.42","552.93","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.66","45.61","46.96","47.01","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.025","1","0","-0.07","-0.97","-2.03","164.4","100","0","3","0.43","0","6541","0","0","18.09","16.87","33.76","32.85","629.20","623.96","555.42","552.93","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.67","45.65","46.99","47.03","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.030","1","0","-0.07","-0.97","-2.03","164.4","100","0","3","0.43","0","6541","0","0","17.97","16.59","33.73","32.81","629.20","623.96","555.42","552.93","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.68","45.64","47.01","47.05","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.035","2","0","-0.07","-0.97","-2.12","164.7","100","0","3","0.43","0","6544","0","0","17.83","16.35","33.72","32.79","629.20","623.96","555.42","552.93","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.69","45.65","47.02","47.05","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.040","2","0","-0.08","-0.76","-2.12","164.7","100","0","3","0.41","0","6544","0","0","17.69","16.12","33.68","32.81","628.52","623.29","554.97","552.48","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.71","45.66","47.01","47.02","0","0","0","0","0","0","0","0","0","0","0","0","7","5","3","2","4","1188","3","3","7","0"
"0.045","2","0","-0.08","-0.76","-2.12","164.7","100","0","3","0.41","0","6544","0","0","17.50","15.90","33.74","32.96","628.52","623.29","554.97","552.48","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.71","45.67","46.95","46.95","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.050","2","0","-0.08","-0.76","-2.12","164.7","100","0","3","0.41","0","6544","0","0","17.37","15.70","33.93","33.26","628.52","623.29","554.97","552.48","26.95","27.44","27.10","27.29","84.18","84.51","88.85","88.65","45.72","45.69","46.88","46.89","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
