"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","19.08.2025",,,"Origin Time","547.090","s"
"Log Time","23:56:58",,,"Start Time","547.090","s"
"Sample Rate","200.000","Hz",,"End Time","688.535","s"
"Duration","141.445","s",,"Start Distance","23273","m"
"Range","Lap 6",,,"End Distance","30220","m"
"Beacon Markers","    00.000  "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","0.05","0.33","0.09","165.5","100","0","3","0.17","0","6549","0","0","16.77","17.76","32.47","33.49","447.58","447.58","398.43","398.43","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","45.96","46.02","47.33","47.31","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","4","1187","2","1","4","140"
"0.005","0","0","0.05","0.33","0.09","165.7","100","0","3","0.17","0","6579","0","0","16.98","18.09","32.42","33.37","447.58","447.58","398.43","398.43","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.00","46.05","47.39","47.40","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","3","1187","2","0","4","0"
"0.010","0","0","0.05","0.33","0.09","165.7","100","0","3","0.17","0","6579","0","0","17.08","18.06","32.32","33.15","447.58","447.58","398.43","398.43","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.02","46.06","47.55","47.58","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","3","1187","2","0","4","0"
"0.015","1","0","0.05","0.33","0.09","165.7","100","0","3","0.17","0","6579","0","0","17.13","17.98","32.23","32.93","447.58","447.58","398.43","398.43","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.04","46.05","47.25","47.29","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","3","1187","2","0","4","0"
"0.020","1","0","0.05","0.33","0.05","165.9","100","0","3","0.17","0","6603","0","0","17.11","17.89","32.17","32.73","447.58","447.58","398.43","398.43","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.06","46.07","47.56","47.60","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.025","1","0","0.05","0.33","0.05","165.9","100","0","3","0.17","0","6603","0","0","17.09","17.74","32.13","32.58","447.58","447.58","398.43","398.43","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.08","46.08","47.48","47.49","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.030","1","0","0.05","0.33","0.05","165.9","100","0","3","0.17","0","6603","0","0","17.05","17.59","32.12","32.54","447.58","447.58","398.43","398.43","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.09","46.09","47.39","47.40","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.035","2","0","0.05","0.33","-0.18","166.2","100","0","3","0.17","0","6605","0","0","17.05","17.47","32.13","32.54","447.58","447.58","398.43","398.43","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.11","46.11","47.50","47.51","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.040","2","0","0.02","0.13","-0.18","166.2","100","0","3","0.41","0","6605","0","0","17.06","17.39","32.17","32.58","447.01","447.01","398.06","398.06","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.13","46.13","47.42","47.40","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1188","3","3","7","0"
"0.045","2","0","0.02","0.13","-0.18","166.2","100","0","3","0.41","0","6605","0","0","17.05","17.32","32.31","32.76","447.01","447.01","398.06","398.06","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.15","46.15","47.37","47.31","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
"0.050","2","0","0.02","0.13","-0.18","166.2","100","0","3","0.41","0","6605","0","0","17.00","17.29","32.52","33.17","447.01","447.01","398.06","398.06","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.17","46.17","47.40","47.32","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
"0.055","3","0","0.02","0.13","-0.32","166.5","100","0","3","0.41","0","6581","0","0","16.92","17.26","32.78","33.74","447.01","447.01","398.06","398.06","26.46","26.96","26.16","26.46","80.00","80.00","80.00","80.00","46.18","46.19","47.38","47.31","0","0","0","0","0","0","0","0","0","0","0","0","6","6","3","2","5","1189","3","3","7","0"
