"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Spa",,,"Worksheet",""
"Vehicle","296 GT3",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","18.08.2025",,,"Origin Time","2796.160","s"
"Log Time","20:31:54",,,"Start Time","2796.160","s"
"Sample Rate","200.000","Hz",,"End Time","2937.950","s"
"Duration","141.790","s",,"Start Distance","93126","m"
"Range","Lap 14",,,"End Distance","100092","m"
"Beacon Markers","            00.000  "


"Time","Distance","LAP_BEACON","G_LAT","ROTY","STEERANGLE","SPEED","THROTTLE","BRAKE","GEAR","G_LON","CLUTCH","RPMS","TC","ABS","SUS_TRAVEL_LF","SUS_TRAVEL_RF","SUS_TRAVEL_LR","SUS_TRAVEL_RR","BRAKE_TEMP_LF","BRAKE_TEMP_RF","BRAKE_TEMP_LR","BRAKE_TEMP_RR","TYRE_PRESS_LF","TYRE_PRESS_RF","TYRE_PRESS_LR","TYRE_PRESS_RR","TYRE_TAIR_LF","TYRE_TAIR_RF","TYRE_TAIR_LR","TYRE_TAIR_RR","WHEEL_SPEED_LF","WHEEL_SPEED_RF","WHEEL_SPEED_LR","WHEEL_SPEED_RR","BUMPSTOPUP_RIDE_LF","BUMPSTOPUP_RIDE_RF","BUMPSTOPUP_RIDE_LR","BUMPSTOPUP_RIDE_RR","BUMPSTOPDN_RIDE_LF","BUMPSTOPDN_RIDE_RF","BUMPSTOPDN_RIDE_LR","BUMPSTOPDN_RIDE_RR","BUMPSTOP_FORCE_LF","BUMPSTOP_FORCE_RF","BUMPSTOP_FORCE_LR","BUMPSTOP_FORCE_RR","EN_ET","EN_TL","EN_TD","EN_TB","EN_TW","EN_W","EN_Dy","EN_AP","EN_GR","TIME"
"s","m","..","m/s2","deg/s","deg","km/h","%","%","no","m/s2","%","1/min","..","..","mm","mm","mm","mm","C","C","C","C","..","..","..","..","C","C","C","C","m/s","m/s","m/s","m/s","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."


"0.000","0","0","-0.16","-1.38","-3.65","165.5","100","0","3","0.39","0","6555","0","0","16.75","15.06","34.02","33.00","453.08","451.26","403.64","402.66","26.86","26.98","27.01","27.17","82.26","84.75","89.04","89.57","45.91","45.88","47.21","47.24","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1170","0","2","4","152"
"0.005","0","0","-0.16","-1.38","-3.65","165.5","100","0","3","0.39","0","6555","0","0","17.13","15.51","33.98","32.94","453.08","451.26","403.64","402.66","26.86","26.98","27.01","27.17","82.26","84.75","89.04","89.57","45.97","45.93","47.26","47.30","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1170","0","2","4","152"
"0.010","0","0","-0.16","-1.38","-3.65","165.5","100","0","3","0.39","0","6555","0","0","17.45","15.85","33.91","32.86","453.08","451.26","403.64","402.66","26.86","26.98","27.01","27.17","82.26","84.75","89.04","89.57","46.01","45.96","47.32","47.37","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1170","0","2","4","152"
"0.015","1","0","-0.16","-2.11","-3.65","165.5","100","0","3","0.39","0","6555","0","0","17.60","15.96","33.80","32.75","452.36","450.55","403.18","402.19","26.86","26.98","27.01","27.17","82.26","84.75","89.03","89.57","46.04","45.98","47.38","47.44","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1170","0","2","4","0"
"0.020","1","0","-0.16","-2.11","-3.70","165.7","100","0","3","0.39","0","6582","0","0","17.59","15.93","33.70","32.59","452.36","450.55","403.18","402.19","26.86","26.98","27.01","27.17","82.26","84.75","89.03","89.57","46.04","45.98","47.42","47.48","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1170","0","2","4","0"
"0.025","1","0","-0.16","-2.11","-3.70","165.7","100","0","3","0.39","0","6582","0","0","17.58","15.83","33.63","32.40","452.36","450.55","403.18","402.19","26.86","26.98","27.01","27.17","82.26","84.75","89.03","89.57","46.05","45.98","47.44","47.51","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","0","2","1170","0","2","4","0"
"0.030","1","0","-0.16","-2.11","-3.70","165.7","100","0","3","0.39","0","6582","0","0","17.58","15.75","33.55","32.23","452.36","450.55","403.18","402.19","26.86","26.98","27.01","27.17","82.26","84.75","89.03","89.57","46.07","46.00","47.47","47.53","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.035","2","0","-0.16","-2.11","-3.65","166.0","100","0","3","0.39","0","6604","0","0","17.62","15.69","33.47","32.08","452.36","450.55","403.18","402.19","26.86","26.98","27.01","27.17","82.26","84.75","89.03","89.57","46.09","46.01","47.48","47.54","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.040","2","0","-0.16","-2.11","-3.65","166.0","100","0","3","0.39","0","6604","0","0","17.69","15.64","33.40","31.98","452.36","450.55","403.18","402.19","26.86","26.98","27.01","27.17","82.26","84.75","89.03","89.57","46.12","46.03","47.50","47.55","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.045","2","0","-0.16","-2.11","-3.65","166.0","100","0","3","0.39","0","6604","0","0","17.78","15.60","33.39","31.93","452.36","450.55","403.18","402.19","26.86","26.98","27.01","27.17","82.26","84.75","89.03","89.57","46.14","46.05","47.46","47.52","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
"0.050","2","0","-0.16","-2.11","-3.56","166.2","100","0","3","0.39","0","6607","0","0","17.88","15.58","33.46","31.98","452.36","450.55","403.18","402.19","26.86","26.98","27.01","27.17","82.26","84.75","89.03","89.57","46.17","46.08","47.39","47.43","0","0","0","0","0","0","0","0","0","0","0","0","7","6","3","2","5","1171","3","3","7","0"
