Distance,Time,LAP_BEACON,G_LAT,ROTY,STEERANGLE,SPEED,THROTTLE,BRAKE,GEAR,G_LON,CLUTCH,RPMS,TC,ABS,SUS_TRAVEL_LF,SUS_TRAVEL_RF,SUS_TRAVEL_LR,SUS_TRAVEL_RR,BRAKE_TEMP_LF,BRAKE_TEMP_RF,BRAKE_TEMP_LR,BRAKE_TEMP_RR,TYRE_PRESS_LF,TYRE_PRESS_RF,TYRE_PRESS_LR,TYRE_PRESS_RR,TYRE_TAIR_LF,TYRE_TAIR_RF,TYRE_TAIR_LR,TYRE_TAIR_RR,WHEEL_SPEED_LF,WHEEL_SPEED_RF,WHEEL_SPEED_LR,WHEEL_SPEED_RR,BUMPSTOPUP_RIDE_LF,BUMPSTOPUP_RIDE_RF,BUMPSTOPUP_RIDE_LR,BUMPSTOPUP_RIDE_RR,BUMPSTOPDN_RIDE_LF,BUMPSTOPDN_RIDE_RF,BUMPSTOPDN_RIDE_LR,BUMPSTOPDN_RIDE_RR,BUMPSTOP_FORCE_LF,BUMPSTOP_FORCE_RF,BUMPSTOP_FORCE_LR,BUMPSTOP_FORCE_RR,EN_ET,EN_TL,EN_TD,EN_TB,EN_TW,EN_W,EN_Dy,EN_AP,EN_GR,TIME,segment_id_x,segmentDescription,segmentStart_m,segmentEnd_m,corner_ids,corner_id,segment_id_y,cornerName,cornerDescription,cornerStart_m,cornerApex_m,cornerEnd_m
0,0.01,0.0,-0.3,-1.7,-2.12,166.2,100.0,0.0,3.0,0.0,0.0,6576.0,0.0,0.0,17.95,15.92,32.9,30.27,157.32,154.99,112.58,111.31,25.09,25.27,24.9,25.17,69.85,69.74,71.01,70.71,46.18,46.18,47.49,47.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,1186.0,2.0,2.0,5.0,93.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
1,0.03,0.0,-0.24,-1.68,-1.8,166.4,100.0,0.0,3.0,0.0,0.0,6612.0,0.0,0.0,18.44,15.77,32.52,29.68,448.53,448.53,399.03,399.03,26.06,26.26,25.76,26.06,80.0,80.0,80.0,80.0,46.28,46.2,47.66,47.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,2.0,4.0,1188.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
2,0.05,0.0,-0.24,-1.68,-1.44,166.9,100.0,0.0,3.0,0.0,0.0,6621.0,0.0,0.0,18.19,15.28,32.67,29.84,448.53,448.53,399.03,399.03,26.06,26.26,25.76,26.06,80.0,80.0,80.0,80.0,46.35,46.26,47.53,47.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,5.0,1188.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
3,0.075,0.0,-0.18,-0.86,-1.26,167.1,100.0,0.0,3.0,0.0,0.0,6599.0,0.0,0.0,17.64,15.22,33.21,31.86,448.08,448.08,398.73,398.73,26.06,26.26,25.76,26.06,80.01,80.01,80.01,80.0,46.39,46.37,47.68,47.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,2.0,5.0,1189.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
4,0.095,0.0,-0.18,-0.86,-1.04,167.4,100.0,0.0,3.0,0.0,0.0,6612.0,0.0,0.0,17.28,15.23,33.24,31.45,448.08,448.08,398.73,398.73,26.06,26.26,25.76,26.06,80.01,80.01,80.01,80.0,46.47,46.44,47.77,47.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,5.0,1189.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
5,0.115,0.0,-0.18,-0.86,-0.68,167.8,100.0,0.0,3.0,0.0,0.0,6665.0,0.0,0.0,16.79,14.72,33.31,31.09,448.08,448.08,398.73,398.73,26.06,26.26,25.76,26.06,80.01,80.01,80.01,80.0,46.54,46.53,47.83,47.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,5.0,1189.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
6,0.135,0.0,-0.14,-0.06,-0.5,168.1,100.0,0.0,3.0,0.0,0.0,6661.0,0.0,0.0,15.93,13.5,32.87,31.16,447.64,447.64,398.44,398.44,26.06,26.26,25.76,26.06,80.01,80.01,80.01,80.01,46.59,46.55,47.94,47.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,5.0,1189.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
7,0.16,0.0,-0.14,-0.06,-0.36,168.3,100.0,0.0,3.0,0.0,0.0,6657.0,0.0,0.0,14.89,12.77,31.9,31.23,447.64,447.64,398.44,398.44,26.06,26.26,25.76,26.06,80.01,80.01,80.01,80.01,46.62,46.63,48.18,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,5.0,1189.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
8,0.18,0.0,-0.08,0.15,-0.14,168.5,100.0,0.0,3.0,0.0,0.0,6674.0,0.0,0.0,14.81,12.88,30.68,30.29,447.21,447.21,398.15,398.15,26.06,26.26,25.76,26.06,80.01,80.01,80.01,80.01,46.72,46.74,48.43,48.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,5.0,1189.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
9,0.2,0.0,-0.08,0.15,0.27,168.9,100.0,0.0,3.0,0.0,0.0,6754.0,0.0,0.0,14.89,12.56,29.44,28.63,447.21,447.21,398.15,398.15,26.06,26.26,25.76,26.06,80.01,80.01,80.01,80.01,46.84,46.8,48.56,48.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,5.0,1189.0,3.0,3.0,7.0,0.0,1,"La Source and Eau-Rouge, Raidillon to Kemmel-straight",0,1800,"[1001, 1002]",,,,,,,
